"Lurralde kodea","Lurralde","2015","2014","2013","2012","2009","2007","2006"
"01100","Arabako Ibarrak / Valles Alaveses","0.53","0.53","0.00","0.00","0.87","0.91","0.92"
"01200","Arabako Lautada / Llanada Alavesa","1.47","1.53","1.64","1.58","1.52","1.34","1.36"
"01300","Arabako Mendialdea / Montaña Alavesa","0.00","0.00","0.00","0.00","1.26","1.89","1.90"
"48100","Arratia Nerbioi / Arratia-Nervión","0.63","0.55","0.25","0.34","0.94","0.65","0.67"
"20200","Bidasoa Beherea / Bajo Bidasoa","1.65","1.72","1.59","2.09","1.45","1.48","1.49"
"48200","Bilbo Handia / Gran Bilbao","1.73","1.73","1.73","1.75","1.68","1.58","1.58"
"20100","Deba Beherea / Bajo Deba","1.26","1.49","1.38","1.38","1.42","1.35","1.36"
"20300","Debagoiena / Alto Deba","1.28","1.29","1.13","1.17","0.97","0.83","0.83"
"20400","Donostialdea / Donostia-San Sebastián","2.04","1.82","1.79","1.77","1.74","1.52","1.53"
"48300","Durangaldea / Duranguesado","1.11","1.17","1.11","1.07","1.11","0.94","0.95"
"48400","Enkartazioak / Encartaciones","0.75","0.81","0.74","0.77","0.76","0.65","0.65"
"01400","Errioxa Arabarra / Rioja Alavesa","0.18","0.18","0.09","0.09","1.41","1.15","1.17"
"48500","Gernika-Bermeo","1.02","1.02","1.01","1.03","1.02","1.01","1.01"
"20500","Goierri","1.03","1.06","0.94","0.95","0.93","1.01","1.04"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","0.35","0.35","0.00","0.11","0.47","0.49","0.49"
"01600","Kantauri Arabarra / Cantábrica Alavesa","1.19","1.31","0.98","0.98","1.11","0.71","0.71"
"48600","Markina-Ondarroa","0.85","0.92","0.84","0.87","0.94","0.98","0.99"
"48700","Plentzia-Mungia","1.05","1.23","1.10","1.22","1.08","0.79","0.81"
"20600","Tolosaldea / Tolosa","0.90","0.94","0.78","0.74","1.10","0.86","0.87"
"20700","Urola-Kostaldea / Urola Costa","1.29","1.32","1.33","1.30","1.17","0.91","0.93"
