"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"01100","Arabako Ibarrak / Valles Alaveses","5.56","6.68","7.66","8.20","7.97","6.51","5.38","4.94","2.95","2.34","1.84","2.00","1.87"
"01200","Arabako Lautada / Llanada Alavesa","9.79","11.19","12.72","12.87","12.69","10.19","9.68","9.22","6.99","4.07","4.03","4.44","3.74"
"01300","Arabako Mendialdea / Montaña Alavesa","5.71","6.10","7.41","9.16","9.84","8.49","6.61","5.50","2.89","3.46","3.67","2.80","2.75"
"48100","Arratia Nerbioi / Arratia-Nervión","6.93","8.03","9.16","9.55","9.98","8.68","7.89","7.86","6.00","3.15","3.12","3.83","3.49"
"20200","Bidasoa Beherea / Bajo Bidasoa","7.88","9.29","10.53","10.57","11.06","9.45","9.08","8.74","7.02","4.68","4.96","4.91","3.93"
"48200","Bilbo Handia / Gran Bilbao","10.49","11.81","13.25","13.50","13.60","11.44","10.53","9.76","7.42","4.98","5.06","5.95","5.35"
"20100","Deba Beherea / Bajo Deba","8.11","9.34","10.68","9.94","10.51","9.17","8.84","9.34","6.01","3.45","3.68","4.01","2.48"
"20300","Debagoiena / Alto Deba","6.93","7.54","8.74","8.48","8.39","6.94","7.12","8.31","6.51","3.56","2.89","3.25","2.68"
"20400","Donostialdea / Donostia-San Sebastián","7.29","8.29","9.39","9.97","10.23","8.57","8.30","7.95","5.90","4.12","4.16","4.59","3.94"
"48300","Durangaldea / Duranguesado","7.10","7.78","9.66","9.85","10.31","8.16","7.98","9.02","5.97","2.76","2.56","3.19","2.78"
"48400","Enkartazioak / Encartaciones","11.04","12.81","13.82","13.67","13.83","11.25","8.78","7.81","6.40","4.44","3.86","4.36","3.85"
"01400","Errioxa Arabarra / Rioja Alavesa","9.94","10.93","11.94","11.53","10.98","8.91","7.92","6.68","4.66","2.25","2.02","2.44","2.49"
"48500","Gernika-Bermeo","8.56","9.62","10.34","10.64","10.65","8.88","7.90","7.59","6.21","3.48","3.76","4.89","3.84"
"20500","Goierri","6.30","6.33","8.03","8.01","8.55","7.24","7.76","7.66","4.89","2.61","2.35","2.74","2.61"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","4.93","5.84","5.99","6.70","6.64","5.71","5.94","5.18","4.40","1.90","2.25","2.41","2.36"
"01600","Kantauri Arabarra / Cantábrica Alavesa","10.04","10.65","12.40","11.74","11.36","9.59","7.53","8.18","5.72","3.33","3.98","5.10","4.98"
"48600","Markina-Ondarroa","6.55","7.90","8.81","8.95","9.88","7.25","7.10","7.75","6.36","3.09","3.35","3.82","3.29"
"48700","Plentzia-Mungia","7.71","8.05","8.93","9.20","9.05","7.97","7.74","7.47","5.62","3.82","4.11","4.84","3.88"
"20600","Tolosaldea / Tolosa","6.98","7.96","9.26","9.39","9.94","8.30","8.20","7.55","5.16","3.65","4.26","3.99","3.43"
"20700","Urola-Kostaldea / Urola Costa","6.56","8.13","9.77","9.71","9.76","7.90","7.95","7.98","4.77","3.13","3.22","3.49","3.06"
