"Lurralde kodea","Lurralde","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","17.38",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","2.91",NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","62.91",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","5.57",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","3.23",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","1.22",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","0.91",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","9.38",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","2.12",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","2.17",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","10.17",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","1.76",NA,NA,NA,NA
"48500","Gernika-Bermeo","2.17",NA,NA,NA,NA
"20500","Goierri","6.18",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","0.00",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","4.09",NA,NA,NA,NA
"48600","Markina-Ondarroa","10.92",NA,NA,NA,NA
"48700","Plentzia-Mungia","3.53",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","7.17",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","4.96",NA,NA,NA,NA
