"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"01100","Arabako Ibarrak / Valles Alaveses","17.31","17.31","16.66","16.84","17.27","17.27","17.26","17.26","17.26","17.52","17.29","17.17","17.32"
"01200","Arabako Lautada / Llanada Alavesa","20.79","20.79","20.89","21.55","35.04","34.86","35.05","35.26","35.34","34.19","34.68","34.19","33.91"
"01300","Arabako Mendialdea / Montaña Alavesa","15.02","15.02","15.02","15.10","15.91","15.90","15.90","15.67","15.67","15.67","15.67","15.67","16.42"
"48100","Arratia Nerbioi / Arratia-Nervión","12.57","12.57","12.69","12.86","17.21","17.45","17.87","18.11","18.19","17.27","17.14","19.51","24.32"
"20200","Bidasoa Beherea / Bajo Bidasoa","7.42","4.06","5.34","5.47","9.90","9.12","9.12","9.07","9.08","9.15","8.37","7.48","10.57"
"48200","Bilbo Handia / Gran Bilbao","14.48","14.47","14.51","13.95","21.02","21.95","21.59","22.12","22.36","22.77","23.19","21.64","23.05"
"20100","Deba Beherea / Bajo Deba","9.74","9.50","9.50","9.92","17.53","17.25","17.25","17.25","16.20","14.13","12.45","12.46","14.34"
"20300","Debagoiena / Alto Deba","6.95","6.95","6.95","8.04","14.60","20.67","20.67","20.88","20.76","20.97","20.75","16.77","16.12"
"20400","Donostialdea / Donostia-San Sebastián","17.79","17.72","19.64","19.18","22.59","22.47","23.70","23.66","21.34","24.20","24.28","23.78","20.92"
"48300","Durangaldea / Duranguesado","10.50","9.21","9.20","9.27","17.43","19.85","19.87","19.88","19.87","20.45","18.70","18.13","22.10"
"48400","Enkartazioak / Encartaciones","11.30","11.30","10.59","10.86","25.77","25.94","25.91","25.91","25.88","25.69","25.40","26.23","27.50"
"01400","Errioxa Arabarra / Rioja Alavesa","18.02","17.98","18.04","18.16","32.73","33.05","32.99","32.37","32.45","32.31","32.40","32.29","30.67"
"48500","Gernika-Bermeo","5.96","5.91","6.88","6.95","8.46","8.50","8.50","8.20","7.91","7.91","7.93","8.05","8.57"
"20500","Goierri","10.56","12.57","12.56","12.70","15.19","17.12","17.02","16.95","17.44","13.58","13.40","17.75","18.85"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","2.59","2.57","4.17","4.19","6.38","6.37","6.37","5.97","5.97","5.97","6.74","6.74","6.98"
"01600","Kantauri Arabarra / Cantábrica Alavesa","14.82","15.11","15.13","16.14","20.58","20.07","20.06","20.98","21.68","22.80","22.47","22.36","19.87"
"48600","Markina-Ondarroa","8.21","8.21","13.96","12.37","13.10","12.95","12.85","12.71","12.57","13.48","12.88","12.87","15.35"
"48700","Plentzia-Mungia","16.80","17.88","17.89","18.41","28.42","29.03","29.03","28.77","28.79","29.65","29.47","30.55","31.39"
"20600","Tolosaldea / Tolosa","12.20","11.68","11.64","11.22","13.24","13.87","14.65","13.97","10.18","10.72","10.87","11.19","11.07"
"20700","Urola-Kostaldea / Urola Costa","12.32","12.40","12.42","13.19","17.51","16.79","16.81","16.81","18.80","18.84","19.04","19.28","20.69"
