"Lurralde kodea","Lurralde","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","2.21",NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","4.75",NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","3.16",NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","5.07",NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","4.66",NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","6.61",NA,NA,NA
"20100","Deba Beherea / Bajo Deba","4.54",NA,NA,NA
"20300","Debagoiena / Alto Deba","7.22",NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","5.28",NA,NA,NA
"48300","Durangaldea / Duranguesado","4.92",NA,NA,NA
"48400","Enkartazioak / Encartaciones","7.48",NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","4.51",NA,NA,NA
"48500","Gernika-Bermeo","7.28",NA,NA,NA
"20500","Goierri","4.29",NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","1.23",NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","3.09",NA,NA,NA
"48600","Markina-Ondarroa","5.56",NA,NA,NA
"48700","Plentzia-Mungia","5.06",NA,NA,NA
"20600","Tolosaldea / Tolosa","5.29",NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","4.19",NA,NA,NA
