"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"01100","Arabako Ibarrak / Valles Alaveses","0.00","0.00","0.00","0.71","0.71","3.45","3.52","3.59","9.09","9.32","6.48","6.66"
"01200","Arabako Lautada / Llanada Alavesa","16.48","31.98","38.36","44.69","47.43","46.16","36.96","31.97","26.45","21.99","19.02","16.67"
"01300","Arabako Mendialdea / Montaña Alavesa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.73","5.75"
"48100","Arratia Nerbioi / Arratia-Nervión","0.04","1.94","2.25","6.38","7.36","7.45","6.61","6.38","4.95","5.46","6.44","6.39"
"20200","Bidasoa Beherea / Bajo Bidasoa","7.23","7.12","6.25","6.57","1.84","3.53","3.26","3.51","8.22","9.40","6.75","6.82"
"48200","Bilbo Handia / Gran Bilbao","4.49","3.43","3.44","4.16","5.09","5.77","7.07","8.32","9.21","9.20","8.37","6.83"
"20100","Deba Beherea / Bajo Deba","7.98","7.24","9.09","11.97","12.25","8.09","11.95","9.02","6.87","5.31","4.57","0.73"
"20300","Debagoiena / Alto Deba","7.75","8.92","15.48","15.82","16.10","14.40","13.23","6.56","2.35","0.81","0.29","0.66"
"20400","Donostialdea / Donostia-San Sebastián","7.63","6.97","6.55","7.54","7.65","8.11","9.55","9.57","8.55","8.55","7.28","7.34"
"48300","Durangaldea / Duranguesado","8.54","11.14","9.70","10.40","8.92","8.36","5.50","6.70","6.93","4.55","3.71","4.00"
"48400","Enkartazioak / Encartaciones","1.87","1.88","4.15","5.20","5.61","3.72","4.53","4.57","4.53","4.86","5.49","7.27"
"01400","Errioxa Arabarra / Rioja Alavesa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.63","3.05","3.09","3.93"
"48500","Gernika-Bermeo","4.80","12.97","14.25","13.69","14.51","11.60","3.53","3.35","4.51","3.70","3.98","3.54"
"20500","Goierri","6.69","7.40","6.82","4.91","3.79","3.19","4.65","6.48","7.36","7.22","8.55","6.28"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","1.84","1.85","6.96","5.17","5.25","5.37","5.48","1.02","1.04","2.95","3.03","3.12"
"01600","Kantauri Arabarra / Cantábrica Alavesa","11.27","11.29","19.21","20.11","17.86","12.20","12.27","4.72","3.90","3.92","4.68","4.68"
"48600","Markina-Ondarroa","0.46","1.81","2.26","4.06","5.69","9.23","7.89","7.47","5.66","3.56","0.00","0.53"
"48700","Plentzia-Mungia","2.90","2.35","4.77","8.69","7.86","8.31","8.48","8.07","4.32","4.46","3.66","5.37"
"20600","Tolosaldea / Tolosa","4.82","4.85","5.55","8.29","7.85","4.48","5.86","5.64","3.13","3.81","5.18","5.51"
"20700","Urola-Kostaldea / Urola Costa","3.48","3.50","4.84","5.63","6.02","3.49","7.17","5.87","5.55","5.28","4.71","2.36"
