"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","44.25","47.45","45.97","43.51","44.19","44.33","44.57","47.08","43.97","45.58","45.00","47.02","47.97","44.44"
"01200","Arabako Lautada / Llanada Alavesa","47.62","46.81","46.31","45.71","44.49","44.54","44.33","44.69","44.61","45.59","45.79","45.05","44.75","44.63"
"01300","Arabako Mendialdea / Montaña Alavesa","55.56","56.67","54.68","52.69","57.73","53.71","52.97","50.79","53.55","50.31","46.25","40.36","41.86","40.66"
"48100","Arratia Nerbioi / Arratia-Nervión","51.07","50.92","50.43","50.10","50.07","50.04","49.34","47.90","49.10","50.53","48.16","44.16","40.08","38.06"
"20200","Bidasoa Beherea / Bajo Bidasoa","48.46","48.35","48.41","49.03","49.11","48.89","48.94","48.21","47.22","47.52","46.77","46.96","46.89","47.27"
"48200","Bilbo Handia / Gran Bilbao","50.92","51.09","51.05","50.79","50.42","50.38","50.59","50.67","51.55","52.31","52.01","51.71","51.70","51.71"
"20100","Deba Beherea / Bajo Deba","46.51","46.11","45.83","45.78","46.19","46.61","47.57","45.83","47.79","48.93","49.11","49.16","50.48","48.30"
"20300","Debagoiena / Alto Deba","47.62","45.77","45.99","46.07","45.68","46.47","47.20","46.51","46.14","47.18","45.17","46.08","44.61","45.26"
"20400","Donostialdea / Donostia-San Sebastián","52.30","52.32","52.87","52.42","52.84","52.60","51.87","51.14","51.54","51.59","51.68","51.12","50.89","50.78"
"48300","Durangaldea / Duranguesado","46.77","47.44","46.89","45.20","44.36","44.94","45.43","45.12","45.28","47.08","45.53","43.95","44.36","44.94"
"48400","Enkartazioak / Encartaciones","49.83","49.45","49.22","49.16","47.24","47.58","47.67","45.07","44.92","45.90","43.24","44.32","44.56","44.61"
"01400","Errioxa Arabarra / Rioja Alavesa","49.13","47.50","47.55","46.09","46.02","45.86","45.93","44.41","46.58","47.39","45.51","44.05","48.56","46.06"
"48500","Gernika-Bermeo","48.88","48.33","48.27","48.14","47.98","49.72","48.83","48.47","48.87","49.22","47.98","49.01","49.56","49.01"
"20500","Goierri","46.64","45.48","45.17","45.51","45.05","43.75","42.24","39.70","38.37","42.32","43.14","43.79","43.54","42.36"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","43.85","43.27","45.61","44.44","45.68","46.17","46.04","46.85","45.57","43.50","43.87","46.64","48.56","40.57"
"01600","Kantauri Arabarra / Cantábrica Alavesa","50.57","50.16","50.00","48.09","48.44","48.72","47.23","47.60","48.23","49.51","48.77","46.53","49.34","47.11"
"48600","Markina-Ondarroa","38.19","38.46","39.33","39.66","39.61","37.60","37.36","37.15","36.71","36.16","34.28","31.11","29.37","33.56"
"48700","Plentzia-Mungia","53.61","54.09","53.79","53.66","52.50","52.50","51.85","52.95","52.91","54.96","55.53","54.49","53.39","53.09"
"20600","Tolosaldea / Tolosa","48.74","48.11","47.84","47.02","46.83","46.49","46.20","44.45","44.87","45.25","43.39","45.67","45.57","47.62"
"20700","Urola-Kostaldea / Urola Costa","47.35","47.14","47.23","47.55","46.45","47.14","46.14","45.09","46.69","45.17","43.56","43.45","44.61","44.25"
