"Lurralde kodea","Lurralde","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","98.54","98.54","99.21","99.51","98.26","99.61","98.81","96.53","98.78"
"01200","Arabako Lautada / Llanada Alavesa","100.00","100.00","99.45","100.00","99.73","98.63","95.89","95.07","95.62"
"01300","Arabako Mendialdea / Montaña Alavesa","98.36","98.36","99.18","99.45","98.08","99.73","99.18","96.71","99.18"
"48100","Arratia Nerbioi / Arratia-Nervión","99.53","99.29","99.10","99.88","98.43","95.82","90.02","87.08","93.15"
"20200","Bidasoa Beherea / Bajo Bidasoa","100.00","100.00","99.73","100.00","99.73","98.63","98.08","98.36","96.16"
"48200","Bilbo Handia / Gran Bilbao","99.47","98.34","97.63","99.74","98.16","96.01","92.87","86.64","92.02"
"20100","Deba Beherea / Bajo Deba","99.63","99.25","98.81","99.91","98.08","96.63","94.06","91.42","94.52"
"20300","Debagoiena / Alto Deba","98.90","98.89","98.08","99.73","96.44","92.08","85.48","76.44","87.40"
"20400","Donostialdea / Donostia-San Sebastián","100.00","100.00","99.73","100.00","99.73","98.63","98.08","98.36","96.16"
"48300","Durangaldea / Duranguesado","98.90","98.89","98.08","99.73","96.44","92.08","85.48","76.44","87.40"
"48400","Enkartazioak / Encartaciones","100.00","100.00","100.00","100.00","100.00","99.45","98.61","98.63","98.90"
"01400","Errioxa Arabarra / Rioja Alavesa","99.89","98.62","99.69","99.96","99.62","99.47","98.91","98.75","96.86"
"48500","Gernika-Bermeo","100.00","99.42","99.18","100.00","98.90","98.91","98.36","98.90","98.08"
"20500","Goierri","99.18","99.18","96.99","99.18","96.71","95.63","86.85","86.30","88.74"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","99.78","99.78","99.18","99.95","99.07","97.32","93.81","91.34","93.97"
"01600","Kantauri Arabarra / Cantábrica Alavesa","100.00","99.45","100.00","100.00","100.00","98.63","92.60","95.07","98.08"
"48600","Markina-Ondarroa","100.00","99.42","99.18","100.00","98.90","98.91","98.36","98.90","98.08"
"48700","Plentzia-Mungia","100.00","99.42","99.18","100.00","98.90","98.91","98.36","98.90","98.08"
"20600","Tolosaldea / Tolosa","99.18","99.18","96.99","99.18","96.71","95.63","86.85","86.30","88.74"
"20700","Urola-Kostaldea / Urola Costa","98.21","96.74","94.50","97.21","93.92","94.73","93.47","96.41","95.08"
