"Lurralde kodea","Lurralde","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","0.96","0.95","0.92","0.90","0.87","0.87","0.85","0.83","0.81","0.76","0.73","0.70"
"01200","Arabako Lautada / Llanada Alavesa","0.60","0.61","0.60","0.61","0.62","0.61","0.61","0.61","0.59","0.57","0.56","0.54"
"01300","Arabako Mendialdea / Montaña Alavesa","0.97","0.93","0.92","0.91","0.88","0.86","0.83","0.81","0.78","0.74","0.73","0.70"
"48100","Arratia Nerbioi / Arratia-Nervión","0.68","0.67","0.68","0.69","0.69","0.67","0.66","0.65","0.62","0.61","0.59","0.57"
"20200","Bidasoa Beherea / Bajo Bidasoa","0.66","0.68","0.66","0.66","0.65","0.65","0.64","0.64","0.61","0.59","0.58","0.56"
"48200","Bilbo Handia / Gran Bilbao","0.54","0.55","0.55","0.55","0.55","0.54","0.54","0.54","0.52","0.51","0.50","0.48"
"20100","Deba Beherea / Bajo Deba","0.56","0.57","0.57","0.57","0.57","0.57","0.57","0.57","0.55","0.54","0.53","0.52"
"20300","Debagoiena / Alto Deba","0.62","0.63","0.63","0.64","0.63","0.63","0.63","0.62","0.60","0.59","0.57","0.56"
"20400","Donostialdea / Donostia-San Sebastián","0.61","0.64","0.62","0.62","0.62","0.62","0.62","0.61","0.59","0.57","0.56","0.54"
"48300","Durangaldea / Duranguesado","0.63","0.63","0.63","0.63","0.63","0.62","0.62","0.61","0.58","0.57","0.56","0.54"
"48400","Enkartazioak / Encartaciones","0.67","0.67","0.67","0.68","0.67","0.67","0.66","0.65","0.62","0.60","0.58","0.57"
"01400","Errioxa Arabarra / Rioja Alavesa","0.83","0.84","0.80","0.80","0.78","0.78","0.76","0.76","0.73","0.71","0.67","0.64"
"48500","Gernika-Bermeo","0.61","0.61","0.60","0.60","0.59","0.59","0.58","0.57","0.55","0.53","0.52","0.51"
"20500","Goierri","0.65","0.64","0.65","0.65","0.64","0.64","0.64","0.63","0.61","0.60","0.58","0.56"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","0.86","0.84","0.83","0.83","0.83","0.82","0.81","0.78","0.78","0.74","0.73","0.70"
"01600","Kantauri Arabarra / Cantábrica Alavesa","0.64","0.65","0.64","0.65","0.64","0.64","0.64","0.62","0.60","0.58","0.57","0.55"
"48600","Markina-Ondarroa","0.60","0.61","0.59","0.59","0.58","0.57","0.57","0.56","0.54","0.53","0.52","0.50"
"48700","Plentzia-Mungia","0.68","0.69","0.68","0.68","0.68","0.67","0.67","0.66","0.64","0.63","0.61","0.59"
"20600","Tolosaldea / Tolosa","0.66","0.67","0.67","0.67","0.67","0.66","0.66","0.65","0.62","0.60","0.59","0.57"
"20700","Urola-Kostaldea / Urola Costa","0.59","0.60","0.59","0.59","0.59","0.58","0.58","0.58","0.55","0.54","0.52","0.51"
