"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","6.04","6.57","7.35","8.35","7.44","6.73","6.40","5.54","4.67","4.16","3.42","3.23","2.43","2.20"
"01200","Arabako Lautada / Llanada Alavesa","8.44","8.61","8.88","9.42","10.10","9.77","9.66","9.01","8.05","6.92","6.12","5.58","4.56","3.98"
"01300","Arabako Mendialdea / Montaña Alavesa","3.96","4.02","4.58","5.95","6.10","5.52","5.82","6.00","5.76","5.09","5.08","5.24","4.10","2.90"
"48100","Arratia Nerbioi / Arratia-Nervión","5.10","5.02","5.35","6.15","6.06","5.79","5.54","5.24","4.85","3.79","3.30","2.89","2.32","1.67"
"20200","Bidasoa Beherea / Bajo Bidasoa","7.86","7.79","7.93","7.91","7.92","7.70","7.56","7.37","6.72","5.66","5.08","4.21","3.64","2.97"
"48200","Bilbo Handia / Gran Bilbao","5.75","5.63","5.91","6.34","6.49","6.30","5.99","5.75","5.14","4.46","3.91","3.24","2.60","2.17"
"20100","Deba Beherea / Bajo Deba","7.31","7.02","6.85","6.91","6.44","5.81","5.54","5.26","4.55","3.60","3.01","2.63","2.31","1.83"
"20300","Debagoiena / Alto Deba","5.39","5.50","5.81","5.51","5.24","4.82","4.62","4.45","3.88","3.31","2.67","2.15","1.71","1.32"
"20400","Donostialdea / Donostia-San Sebastián","6.25","6.12","6.16","6.27","6.30","6.15","5.91","5.70","5.05","4.26","3.86","3.40","2.96","2.45"
"48300","Durangaldea / Duranguesado","6.41","6.32","6.30","6.92","6.95","6.29","6.00","5.69","4.94","3.95","3.14","2.57","1.97","1.56"
"48400","Enkartazioak / Encartaciones","5.53","5.64","5.78","6.27","6.30","5.60","5.24","4.87","4.29","3.51","2.85","2.36","1.89","1.37"
"01400","Errioxa Arabarra / Rioja Alavesa","9.81","9.90","9.79","9.95","10.00","9.33","8.55","8.40","7.65","6.74","5.66","4.80","3.34","3.20"
"48500","Gernika-Bermeo","6.74","6.62","6.65","7.38","7.25","6.56","6.22","6.05","5.61","4.68","3.72","3.16","2.30","1.72"
"20500","Goierri","8.15","7.89","7.75","7.73","7.71","7.47","7.28","7.09","6.52","4.44","3.48","2.82","2.21","1.80"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","4.32","4.79","4.88","5.16","6.04","5.42","5.49","5.50","4.67","4.37","4.18","3.49","2.79","2.91"
"01600","Kantauri Arabarra / Cantábrica Alavesa","4.56","4.48","4.73","5.14","5.21","5.01","4.80","4.27","3.59","3.03","2.43","1.95","1.38","1.00"
"48600","Markina-Ondarroa","6.43","6.36","6.55","7.18","7.36","7.03","6.79","6.84","6.18","5.34","4.46","3.91","3.48","2.86"
"48700","Plentzia-Mungia","4.46","4.59","4.74","5.21","5.49","5.31","5.33","5.17","4.48","4.09","3.83","3.64","3.05","2.62"
"20600","Tolosaldea / Tolosa","6.43","6.19","5.90","5.85","5.48","5.08","4.83","4.43","3.72","2.92","2.65","2.06","1.74","1.44"
"20700","Urola-Kostaldea / Urola Costa","6.28","6.14","6.04","6.25","6.35","6.07","5.86","5.73","4.89","3.99","3.35","2.92","2.32","1.90"
