"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","41.65","38.55","49.89","54.76","56.62","52.43","52.50","56.95","39.76","56.66","66.72","55.38","68.47"
"01200","Arabako Lautada / Llanada Alavesa","18.95","18.59","18.00","4.52","4.27","4.23","3.65","4.47","5.27","4.94","5.22","5.35","6.24"
"01300","Arabako Mendialdea / Montaña Alavesa","21.23","25.67","23.07","26.65","23.62","25.20","18.54","22.64","20.54","22.16","16.45","23.43","23.87"
"48100","Arratia Nerbioi / Arratia-Nervión","8.39","7.91","7.50","7.72","7.05","6.78","8.35","8.55","9.82","10.15","10.91","10.75","11.08"
"20200","Bidasoa Beherea / Bajo Bidasoa","8.33","9.26","9.17","9.04","10.77","11.98","6.30","9.74","11.34","10.12","11.90","11.18","12.46"
"48200","Bilbo Handia / Gran Bilbao","5.84","5.76","5.92","6.35","6.67","6.52","6.96","8.24","6.62","6.19","6.78","7.17","7.33"
"20100","Deba Beherea / Bajo Deba","12.27","14.00","12.85","12.27","14.27","12.89","14.35","16.06","19.33","18.25","16.16","15.66","15.73"
"20300","Debagoiena / Alto Deba","6.49","7.53","7.05","7.46","7.29","7.59","7.06","7.85","8.34","8.31","7.59","8.85","9.59"
"20400","Donostialdea / Donostia-San Sebastián","7.14","11.35","9.59","10.06","10.03","11.18","12.22","13.44","11.03","11.12","12.43","11.65","12.15"
"48300","Durangaldea / Duranguesado","6.94","7.80","6.85","7.21","6.54","6.19","6.45","7.94","9.21","9.30","10.65","13.32","15.29"
"48400","Enkartazioak / Encartaciones","6.34","7.78","6.42","7.72","8.72","7.37","6.28","7.59","9.28","9.45","11.00","10.12","10.11"
"01400","Errioxa Arabarra / Rioja Alavesa","9.70","6.56","9.39","7.66","10.60","7.73","7.77","9.57","11.01","10.41","11.06","10.42","13.32"
"48500","Gernika-Bermeo","4.61","5.09","4.79","5.53","6.22","6.43","6.05","6.38","10.52","10.28","10.00","11.30","11.26"
"20500","Goierri","7.30","8.43","8.17","8.99","9.11","9.38","10.07","11.82","10.93","10.02","10.67","11.79","11.77"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","25.60","26.40","28.58","29.54","29.28","29.22","33.40","37.35","39.35","36.61","34.14","35.96","44.26"
"01600","Kantauri Arabarra / Cantábrica Alavesa","5.51","6.22","8.16","6.71","8.04","6.79","7.23","7.57","7.69","6.77","8.13","8.38","8.47"
"48600","Markina-Ondarroa","5.65","6.23","6.88","5.97","8.13","6.70","8.00","8.76","9.48","9.30","8.99","7.74","9.03"
"48700","Plentzia-Mungia","8.61","9.55","9.80","9.32","7.98","6.58","7.85","7.60","9.44","10.42","9.84","11.56","11.71"
"20600","Tolosaldea / Tolosa","9.77","10.67","13.14","11.43","10.34","11.85","9.67","14.97","14.27","13.26","12.76","16.47","17.39"
"20700","Urola-Kostaldea / Urola Costa","6.61","8.33","7.75","9.07","9.02","10.30","9.97","10.53","10.56","13.44","11.32","11.14","11.60"
