"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"01100","Arabako Ibarrak / Valles Alaveses","8.69","8.79","8.89","8.86","8.96","8.94","8.99","8.69","8.60","8.49","8.22","8.12","7.90"
"01200","Arabako Lautada / Llanada Alavesa","333.85","332.89","330.51","329.63","330.65","326.11","324.22","320.42","315.66","311.06","307.87","305.89","301.79"
"01300","Arabako Mendialdea / Montaña Alavesa","6.08","6.14","6.24","6.50","6.62","6.59","6.62","6.63","6.61","6.59","6.56","6.60","6.55"
"48100","Arratia Nerbioi / Arratia-Nervión","59.49","59.54","59.64","59.60","59.36","58.87","58.22","57.84","57.19","56.18","55.43","54.85","54.31"
"20200","Bidasoa Beherea / Bajo Bidasoa","1096.72","1094.88","1090.17","1087.64","1083.62","1091.62","1081.03","1081.13","1078.62","1070.42","1066.12","1053.74","1042.26"
"48200","Bilbo Handia / Gran Bilbao","2300.05","2304.16","2313.08","2325.36","2333.20","2365.95","2343.59","2345.28","2336.11","2331.97","2335.24","2332.39","2330.37"
"20100","Deba Beherea / Bajo Deba","308.98","308.94","308.43","307.70","306.72","303.74","305.09","304.62","303.89","301.49","300.14","300.47","301.09"
"20300","Debagoiena / Alto Deba","182.48","182.61","182.86","182.44","181.72","180.67","177.56","177.73","177.13","176.91","176.96","177.19","177.63"
"20400","Donostialdea / Donostia-San Sebastián","1078.96","1077.01","1075.40","1074.52","1073.24","1067.39","1064.88","1062.87","1055.84","1049.19","1046.72","1043.84","1042.17"
"48300","Durangaldea / Duranguesado","311.17","310.66","310.14","310.69","309.95","305.73","304.57","303.72","301.02","297.65","294.92","292.45","290.49"
"48400","Enkartazioak / Encartaciones","74.75","75.06","75.06","75.18","74.99","74.03","73.33","72.76","72.10","71.32","70.69","70.40","70.08"
"01400","Errioxa Arabarra / Rioja Alavesa","35.40","35.75","35.72","35.76","36.19","36.08","35.96","35.73","35.72","35.08","34.27","33.84","32.98"
"48500","Gernika-Bermeo","165.78","165.93","166.52","167.46","167.47","163.82","162.08","161.43","160.66","159.55","158.76","157.95","156.67"
"20500","Goierri","194.11","194.32","194.11","193.91","194.07","193.74","193.31","192.57","191.23","186.86","184.64","183.39","182.34"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","21.11","21.15","21.03","21.25","21.47","21.45","21.02","20.69","20.31","20.02","19.25","18.96","18.41"
"01600","Kantauri Arabarra / Cantábrica Alavesa","103.66","103.80","104.09","104.07","104.02","103.42","103.07","102.59","101.94","101.41","100.57","100.21","99.68"
"48600","Markina-Ondarroa","126.24","126.59","127.39","128.20","128.97","129.18","129.55","130.11","129.36","128.13","127.66","127.17","127.25"
"48700","Plentzia-Mungia","274.37","272.19","270.17","268.38","266.02","257.22","263.58","258.90","253.81","248.72","243.54","237.94","231.84"
"20600","Tolosaldea / Tolosa","147.25","146.96","146.35","145.97","144.76","143.44","142.61","141.82","140.34","138.75","138.08","136.80","136.52"
"20700","Urola-Kostaldea / Urola Costa","231.95","231.07","229.29","227.71","226.88","224.81","221.67","220.42","217.33","214.52","212.19","210.07","208.04"
