"Lurralde kodea","Lurralde","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","0.00","0.00","0.00","0.00","0.00","0.00",NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","1.70","1.70","1.63","1.58","1.61","0.00",NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","0.00","0.00","0.00","0.00","0.00","0.00",NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","4.84","4.87","4.85","3.19","3.23","0.00",NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","1.17","1.17","1.18","1.18","1.18","0.00",NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","0.70","0.62","0.61","0.60","0.58","0.00",NA,NA,NA
"20100","Deba Beherea / Bajo Deba","0.38","0.31","0.31","0.31","0.31","0.00",NA,NA,NA
"20300","Debagoiena / Alto Deba","0.67","0.68","0.68","0.36","0.75","0.00",NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","1.53","1.46","1.43","1.29","1.30","0.00",NA,NA,NA
"48300","Durangaldea / Duranguesado","1.12","1.07","1.08","1.08","1.16","0.00",NA,NA,NA
"48400","Enkartazioak / Encartaciones","6.21","5.45","5.53","5.57","5.04","0.00",NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","1.75","1.75","1.76","1.77","1.77","0.00",NA,NA,NA
"48500","Gernika-Bermeo","0.00","0.00","0.00","0.00","0.00","0.00",NA,NA,NA
"20500","Goierri","0.21","0.21","0.21","0.21","0.21","0.00",NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","0.00","0.00","0.00","0.00","0.00","0.00",NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","2.32","2.24","2.25","2.26","2.22","0.00",NA,NA,NA
"48600","Markina-Ondarroa","1.81","0.72","0.72","0.71","0.72","0.00",NA,NA,NA
"48700","Plentzia-Mungia","0.54","0.55","0.09","0.00","0.08","0.00",NA,NA,NA
"20600","Tolosaldea / Tolosa","2.47","2.50","2.55","2.55","2.36","0.00",NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","0.16","0.16","0.17","0.00","0.00","0.00",NA,NA,NA
