"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","14.62","15.69","11.84","8.91","9.51","6.76","5.56","3.82",NA,NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","31.78","32.52","29.60","26.33","25.06","24.17","22.08","14.25",NA,NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","14.56","12.41","14.18","13.76","11.95","9.15","8.81","5.04",NA,NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","25.35","24.40","24.82","24.72","21.54","21.36","18.05","10.39",NA,NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","21.45","21.15","20.40","18.34","16.10","13.28","12.80","8.16",NA,NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","37.68","38.21","37.46","35.17","35.13","36.19","31.44","24.29",NA,NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","28.43","27.77","24.88","21.96","17.97","16.23","14.60","7.34",NA,NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","16.55","16.63","14.19","12.08","11.16","9.40","8.26","3.31",NA,NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","22.41","23.05","21.46","18.67","18.20","16.41","15.24","9.85",NA,NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","22.87","21.75","21.70","19.98","17.25","17.53","13.90","8.65",NA,NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","41.77","40.01","38.21","34.56","29.90","29.18","25.99","14.96",NA,NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","25.58","27.01","26.06","22.40","17.06","13.69","11.62","6.65",NA,NA,NA,NA,NA
"48500","Gernika-Bermeo","27.95","29.83","29.92","31.19","28.79","28.96","24.88","16.74",NA,NA,NA,NA,NA
"20500","Goierri","15.67","16.74","15.38","13.89","12.12","11.12","9.98","5.25",NA,NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","10.39","10.25","8.69","9.86","10.21","9.46","7.29","4.62",NA,NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","24.80","26.83","25.25","22.74","19.54","18.41","16.48","11.82",NA,NA,NA,NA,NA
"48600","Markina-Ondarroa","25.08","25.28","23.71","24.05","20.63","21.66","16.83","10.29",NA,NA,NA,NA,NA
"48700","Plentzia-Mungia","22.67","23.52","21.94","19.62","17.66","18.71","16.67","11.61",NA,NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","21.25","20.86","18.71","17.71","16.63","14.63","13.84","7.61",NA,NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","17.27","17.94","16.33","14.63","12.24","10.82","10.05","4.74",NA,NA,NA,NA,NA
