"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","3.14","2.91","2.74","2.27","2.53","2.54","2.15","2.21",NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","3.46","3.17","3.07","2.98","3.02","3.38","2.94","2.89",NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","2.31","2.36","2.45","2.55","2.84","2.35","1.75","1.80",NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","4.23","3.88","4.29","4.47","4.74","5.35","4.74","3.36",NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","3.14","3.02","3.07","2.83","2.96","3.02","2.79","2.77",NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","3.43","3.31","3.33","3.42","3.40","3.67","3.26","3.27",NA,NA,NA
"20100","Deba Beherea / Bajo Deba","3.06","2.88","2.98","2.89","2.73","2.73","2.29","2.49",NA,NA,NA
"20300","Debagoiena / Alto Deba","2.82","2.60","2.71","2.61","2.94","3.38","2.87","3.05",NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","3.40","3.27","3.17","3.22","3.17","3.41","3.09","3.09",NA,NA,NA
"48300","Durangaldea / Duranguesado","4.10","3.62","3.58","3.40","3.58","3.78","3.27","3.41",NA,NA,NA
"48400","Enkartazioak / Encartaciones","5.26","5.51","5.12","4.77","3.75","4.49","3.72","3.58",NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","2.69","2.66","2.33","2.33","2.16","2.50","1.64","1.49",NA,NA,NA
"48500","Gernika-Bermeo","3.15","3.08","3.13","3.21","3.14","3.21","2.43","2.60",NA,NA,NA
"20500","Goierri","2.66","2.54","2.42","2.50","2.57","2.83","2.32","2.25",NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","2.99","2.91","2.56","2.48","2.22","2.76","2.42","2.98",NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","3.80","3.38","3.11","2.95","2.57","2.79","2.51","2.37",NA,NA,NA
"48600","Markina-Ondarroa","3.31","3.06","2.98","3.27","3.27","3.53","3.53","3.01",NA,NA,NA
"48700","Plentzia-Mungia","3.45","3.17","3.10","3.46","3.56","3.45","2.91","2.72",NA,NA,NA
"20600","Tolosaldea / Tolosa","4.06","4.29","3.88","3.56","3.89","5.64","4.70","3.24",NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","3.14","2.92","3.04","2.98","2.98","3.18","2.69","2.54",NA,NA,NA
