"Lurralde kodea","Lurralde","2009","2008","2007","2006","2005","2004"
"01100","Arabako Ibarrak / Valles Alaveses","467.92",NA,"0.00","0.00","0.00","0.00"
"01200","Arabako Lautada / Llanada Alavesa","335.16",NA,"0.00","0.00","0.00","0.00"
"01300","Arabako Mendialdea / Montaña Alavesa","414.52",NA,"0.00","0.00","0.00","0.00"
"48100","Arratia Nerbioi / Arratia-Nervión","421.97",NA,"0.00","0.00","0.00","0.00"
"20200","Bidasoa Beherea / Bajo Bidasoa","444.90",NA,"0.00","0.00","0.00","0.00"
"48200","Bilbo Handia / Gran Bilbao","401.20",NA,"0.00","0.00","0.00","0.00"
"20100","Deba Beherea / Bajo Deba","377.06",NA,"0.00","0.00","0.00","0.00"
"20300","Debagoiena / Alto Deba","291.60",NA,"0.00","0.00","0.00","0.00"
"20400","Donostialdea / Donostia-San Sebastián","443.51",NA,"0.00","0.00","0.00","0.00"
"48300","Durangaldea / Duranguesado","383.21",NA,"0.00","0.00","0.00","0.00"
"48400","Enkartazioak / Encartaciones","381.84",NA,"0.00","0.00","0.00","0.00"
"01400","Errioxa Arabarra / Rioja Alavesa","532.06",NA,"0.00","0.00","0.00","0.00"
"48500","Gernika-Bermeo","408.56",NA,"0.00","0.00","0.00","0.00"
"20500","Goierri","377.50",NA,"0.00","0.00","0.00","0.00"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","357.14",NA,"0.00","0.00","0.00","0.00"
"01600","Kantauri Arabarra / Cantábrica Alavesa","325.64",NA,"0.00","0.00","0.00","0.00"
"48600","Markina-Ondarroa","414.27",NA,"0.00","0.00","0.00","0.00"
"48700","Plentzia-Mungia","490.87",NA,"0.00","0.00","0.00","0.00"
"20600","Tolosaldea / Tolosa","368.88",NA,"0.00","0.00","0.00","0.00"
"20700","Urola-Kostaldea / Urola Costa","467.33",NA,"0.00","0.00","0.00","0.00"
