"Lurralde kodea","Lurralde","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"01100","Arabako Ibarrak / Valles Alaveses","588.58","589.68","608.97","488.33","464.05","448.66","455.12","459.35","505.75",NA,NA,NA,"382.71"
"01200","Arabako Lautada / Llanada Alavesa","381.87","377.52","377.23","391.40","387.79","351.55","366.51","390.27","368.30",NA,NA,NA,"255.04"
"01300","Arabako Mendialdea / Montaña Alavesa","394.31","382.33","368.09","350.02","330.96","327.94","325.89","337.42","305.66",NA,NA,NA,"212.68"
"48100","Arratia Nerbioi / Arratia-Nervión","218.21","228.68","211.62","223.65","263.85","220.25","246.66","260.63","267.04",NA,NA,NA,"175.86"
"20200","Bidasoa Beherea / Bajo Bidasoa","352.28","340.25","325.62","325.45","337.61","320.52","334.15","320.03","300.91",NA,NA,NA,"36.59"
"48200","Bilbo Handia / Gran Bilbao","284.54","285.53","277.26","277.54","289.34","290.50","279.00","282.79","263.84",NA,NA,NA,"8.62"
"20100","Deba Beherea / Bajo Deba","312.47","312.02","294.93","281.27","277.54","263.79","268.76","295.53","282.61",NA,NA,NA,"334.74"
"20300","Debagoiena / Alto Deba","358.63","354.12","319.59","322.95","317.14","310.93","330.96","377.15","324.59",NA,NA,NA,"212.59"
"20400","Donostialdea / Donostia-San Sebastián","374.70","368.18","363.32","346.11","334.16","317.88","336.82","302.53","287.21",NA,NA,NA,"43.68"
"48300","Durangaldea / Duranguesado","297.52","290.57","299.70","297.13","283.14","296.18","301.97","313.76","292.21",NA,NA,NA,"913.37"
"48400","Enkartazioak / Encartaciones","193.85","183.36","179.56","202.92","185.61","189.83","198.64","239.35","215.59",NA,NA,NA,"434.93"
"01400","Errioxa Arabarra / Rioja Alavesa","443.35","418.70","434.52","423.69","452.67","379.37","457.98","429.26","453.18",NA,NA,NA,"971.23"
"48500","Gernika-Bermeo","253.40","247.82","233.85","243.32","251.38","250.76","241.75","295.41","276.80",NA,NA,NA,"358.66"
"20500","Goierri","303.77","290.13","272.78","261.50","247.53","260.26","260.15","259.78","254.60",NA,NA,NA,"64.59"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","512.03","512.02","502.44","521.18","525.72","544.62","555.67","546.30","555.34",NA,NA,NA,"31130.73"
"01600","Kantauri Arabarra / Cantábrica Alavesa","306.82","293.57","290.24","305.09","278.51","288.35","271.25","314.27","278.83",NA,NA,NA,"716.11"
"48600","Markina-Ondarroa","205.01","207.84","206.48","195.65","193.26","173.86","199.54","226.53","203.67",NA,NA,NA,"147.60"
"48700","Plentzia-Mungia","274.84","276.01","289.50","278.46","280.95","268.09","264.47","319.23","296.22",NA,NA,NA,"199.36"
"20600","Tolosaldea / Tolosa","300.53","293.87","274.57","280.46","317.89","342.48","310.64","338.29","317.71",NA,NA,NA,"86.70"
"20700","Urola-Kostaldea / Urola Costa","341.75","329.10","296.61","305.47","295.60","288.11","286.82","319.75","289.53",NA,NA,NA,"159.03"
