"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"01100","Arabako Ibarrak / Valles Alaveses","20897.36","19977.97","19323.18","21560.23","18810.35","19094.81","18460.44","22220.62",NA,NA,NA,NA,NA,"0.00"
"01200","Arabako Lautada / Llanada Alavesa","5624.59","5622.25","5791.67","5960.08","6236.68","6124.07","5872.52","6849.36",NA,NA,NA,NA,NA,"0.00"
"01300","Arabako Mendialdea / Montaña Alavesa","6697.44","6491.21","6284.01","6721.06","6826.90","7178.09","7469.73","8241.73",NA,NA,NA,NA,NA,"0.00"
"48100","Arratia Nerbioi / Arratia-Nervión","4545.39","4619.26","4761.79","5097.53","5175.83","5362.28","5382.50","5750.26",NA,NA,NA,NA,NA,"0.00"
"20200","Bidasoa Beherea / Bajo Bidasoa","3738.72","3659.11","3682.46","3819.56","3854.80","3940.40","4090.05","4154.54",NA,NA,NA,NA,NA,"0.00"
"48200","Bilbo Handia / Gran Bilbao","6433.46","6252.48","5843.81","5618.45","6450.43","6716.50","6038.66","7352.42",NA,NA,NA,NA,NA,"0.00"
"20100","Deba Beherea / Bajo Deba","5116.63","5078.10","5258.95","5511.03","5685.28","5767.34","5443.50","6271.85",NA,NA,NA,NA,NA,"0.00"
"20300","Debagoiena / Alto Deba","10291.74","10157.85","10300.37","10845.10","10852.69","10704.35","11829.81","15887.48",NA,NA,NA,NA,NA,"0.00"
"20400","Donostialdea / Donostia-San Sebastián","6077.44","5956.15","6079.71","6291.88","6363.74","6480.89","6344.96","6359.01",NA,NA,NA,NA,NA,"0.00"
"48300","Durangaldea / Duranguesado","11875.57","11492.75","11017.62","11474.94","11660.13","11682.50","11017.57","13303.94",NA,NA,NA,NA,NA,"0.00"
"48400","Enkartazioak / Encartaciones","6455.65","6061.07","6247.50","7677.94","7839.84","8111.49","9020.64","10112.27",NA,NA,NA,NA,NA,"0.00"
"01400","Errioxa Arabarra / Rioja Alavesa","8215.75","7860.71","7564.76","7696.63","7765.98","7654.16","7589.02","8202.73",NA,NA,NA,NA,NA,"0.00"
"48500","Gernika-Bermeo","3875.10","3750.16","3763.35","3882.76","4450.74","4540.59","4400.73","4743.01",NA,NA,NA,NA,NA,"0.00"
"20500","Goierri","22246.70","22003.77","20998.73","21919.96","22356.61","21898.53","17788.99","24416.44",NA,NA,NA,NA,NA,"0.00"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","15008.15","15289.94","15482.48","15978.53","18422.21","18038.76","16700.87","22185.01",NA,NA,NA,NA,NA,"0.00"
"01600","Kantauri Arabarra / Cantábrica Alavesa","17804.68","18468.91","17118.76","18585.08","18913.98","17562.93","15221.86","21585.50",NA,NA,NA,NA,NA,"0.00"
"48600","Markina-Ondarroa","5723.88","5434.96","5431.77","5489.48","5546.81","5553.89","5082.19","5622.88",NA,NA,NA,NA,NA,"0.00"
"48700","Plentzia-Mungia","3437.57","3483.72","3661.33","3832.48","3887.59","4004.45","4042.09","4280.61",NA,NA,NA,NA,NA,"0.00"
"20600","Tolosaldea / Tolosa","8253.04","8262.89","8673.85","8915.87","9104.22","9156.87","9702.34","10625.46",NA,NA,NA,NA,NA,"0.00"
"20700","Urola-Kostaldea / Urola Costa","6427.23","6388.88","7386.02","8157.47","11050.00","15400.31","17448.38","17927.54",NA,NA,NA,NA,NA,"0.00"
