"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009"
"01100","Arabako Ibarrak / Valles Alaveses","93.20","88.28","86.70","85.90","76.13","77.71","79.53"
"01200","Arabako Lautada / Llanada Alavesa","57.96","56.41","55.87","57.55","60.63","61.91","62.53"
"01300","Arabako Mendialdea / Montaña Alavesa","32.43","32.77","32.04","32.71","36.40","38.65","39.67"
"48100","Arratia Nerbioi / Arratia-Nervión","45.95","47.62","47.43","49.76","53.36","56.22","55.95"
"20200","Bidasoa Beherea / Bajo Bidasoa","39.90","39.25","38.94","40.32","42.73","43.39","45.21"
"48200","Bilbo Handia / Gran Bilbao","51.82","50.82","50.07","51.26","54.12","55.26","56.13"
"20100","Deba Beherea / Bajo Deba","47.48","46.31","45.75","46.47","48.42","48.91","50.51"
"20300","Debagoiena / Alto Deba","67.55","67.03","68.34","67.92","70.17","69.29","69.69"
"20400","Donostialdea / Donostia-San Sebastián","58.97","57.80","57.15","57.92","60.77","62.52","63.32"
"48300","Durangaldea / Duranguesado","63.56","60.78","60.06","61.22","63.74","64.83","64.69"
"48400","Enkartazioak / Encartaciones","25.88","25.60","25.82","27.07","29.13","32.58","30.81"
"01400","Errioxa Arabarra / Rioja Alavesa","90.59","86.05","84.10","86.50","100.42","100.50","106.51"
"48500","Gernika-Bermeo","32.90","32.28","31.40","32.21","34.56","35.91","36.18"
"20500","Goierri","57.26","56.04","56.09","55.70","57.57","57.96","59.56"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","74.13","73.03","72.22","79.71","83.59","88.02","91.06"
"01600","Kantauri Arabarra / Cantábrica Alavesa","54.18","55.18","57.66","59.70","62.37","64.42","63.42"
"48600","Markina-Ondarroa","39.87","38.37","37.86","37.83","39.66","40.06","39.20"
"48700","Plentzia-Mungia","34.69","34.38","35.21","36.03","37.82","38.18","39.33"
"20600","Tolosaldea / Tolosa","49.22","47.67","47.83","49.06","53.62","53.68","54.60"
"20700","Urola-Kostaldea / Urola Costa","46.89","45.78","45.52","47.70","50.86","50.97","50.96"
