"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011"
"01100","Arabako Ibarrak / Valles Alaveses","30.68","30.85","32.70","32.20","31.72"
"01200","Arabako Lautada / Llanada Alavesa","33.51","33.96","33.59","33.93","33.50"
"01300","Arabako Mendialdea / Montaña Alavesa","25.42","26.01","24.56","25.97","24.23"
"48100","Arratia Nerbioi / Arratia-Nervión","30.51","30.88","30.82","31.33","29.96"
"20200","Bidasoa Beherea / Bajo Bidasoa","37.93","38.21","38.27","38.51","38.37"
"48200","Bilbo Handia / Gran Bilbao","37.57","37.64","37.53","37.66","37.39"
"20100","Deba Beherea / Bajo Deba","29.21","29.17","29.19","29.30","29.09"
"20300","Debagoiena / Alto Deba","26.27","26.45","26.41","26.22","26.17"
"20400","Donostialdea / Donostia-San Sebastián","34.37","34.83","35.04","35.34","35.33"
"48300","Durangaldea / Duranguesado","27.07","27.18","27.38","27.50","27.03"
"48400","Enkartazioak / Encartaciones","38.62","38.64","38.81","39.60","37.21"
"01400","Errioxa Arabarra / Rioja Alavesa","33.90","33.57","33.67","39.72","20.11"
"48500","Gernika-Bermeo","31.28","31.35","30.95","31.55","30.86"
"20500","Goierri","27.52","27.82","27.49","27.64","27.27"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","30.17","30.05","29.45","30.11","29.62"
"01600","Kantauri Arabarra / Cantábrica Alavesa","30.30","29.68","29.13","28.64","28.00"
"48600","Markina-Ondarroa","22.39","22.29","23.16","22.83","21.44"
"48700","Plentzia-Mungia","35.70","35.08","34.93","35.80","35.24"
"20600","Tolosaldea / Tolosa","29.05","29.65","29.62","30.17","29.33"
"20700","Urola-Kostaldea / Urola Costa","27.88","28.00","27.90","27.93","26.76"
