"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","5.49","3.15","2.27","3.30","2.08","2.26","4.95","2.53",NA,NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","14.90","14.24","12.22","9.40","6.75","6.66","24.61","16.76",NA,NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","5.39","3.33","3.25","3.81","3.15","3.47","3.14","3.77",NA,NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","7.76","7.12","6.70","6.67","6.59","6.10","11.66","6.90",NA,NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","5.89","5.92","6.35","4.62","4.31","0.98","1.65","9.58",NA,NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","19.26","18.14","11.01","13.77","11.16","13.86","17.39","15.15",NA,NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","11.93","10.00","10.43","6.74","6.66","7.41","11.12","7.05",NA,NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","7.48","7.03","7.58","7.35","7.47","9.02","10.29","4.40",NA,NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","11.22","12.35","10.89","8.35","7.70","10.41","13.85","11.46",NA,NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","4.45","4.31","4.58","4.38","4.78","5.67","9.87","8.28",NA,NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","17.75","16.81","14.13","12.16","10.97","11.32","16.91","12.45",NA,NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","7.83","5.40","5.23","4.05","3.15","6.06","9.27","6.20",NA,NA,NA,NA,NA
"48500","Gernika-Bermeo","9.09","8.90","7.91","7.97","7.36","8.34","16.30","11.71",NA,NA,NA,NA,NA
"20500","Goierri","8.40","8.65","7.58","5.94","5.85","7.67","8.64","5.97",NA,NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","6.00","2.77","3.11","3.99","4.12","5.59","7.70","5.06",NA,NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","0.49","0.32","0.52","4.40","4.03","6.62","10.45","9.92",NA,NA,NA,NA,NA
"48600","Markina-Ondarroa","8.68","8.79","7.26","6.00","4.82","6.44","8.15","6.31",NA,NA,NA,NA,NA
"48700","Plentzia-Mungia","7.04","7.54","6.24","5.44","5.00","5.01","11.39","7.04",NA,NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","10.15","9.43","7.74","7.37","6.69","7.43","10.41","6.76",NA,NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","6.41","7.16","5.54","5.01","4.76","6.33","5.95","4.98",NA,NA,NA,NA,NA
