"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"01100","Arabako Ibarrak / Valles Alaveses","9.03","9.35","10.45","9.42","10.13","7.81","5.92","6.49","4.65","3.53","3.34","3.18","2.02"
"01200","Arabako Lautada / Llanada Alavesa","11.80","12.73","13.51","13.22","13.01","11.08","9.99","9.11","7.40","6.11","6.18","6.19","5.35"
"01300","Arabako Mendialdea / Montaña Alavesa","9.02","7.69","7.05","8.38","8.06","7.93","6.29","5.43","4.12","2.98","3.07","4.42","3.09"
"48100","Arratia Nerbioi / Arratia-Nervión","8.39","9.43","10.11","10.25","9.98","8.55","8.19","7.44","5.87","5.01","5.16","5.70","5.00"
"20200","Bidasoa Beherea / Bajo Bidasoa","10.97","12.46","13.22","13.09","13.37","12.43","11.70","11.01","9.57","8.62","8.86","8.68","6.80"
"48200","Bilbo Handia / Gran Bilbao","11.75","12.56","13.36","13.15","12.86","11.29","10.49","9.21","7.44","6.37","6.58","7.12","6.19"
"20100","Deba Beherea / Bajo Deba","11.32","12.25","12.67","12.15","11.98","10.54","9.22","9.01","8.03","6.11","6.78","7.21","5.21"
"20300","Debagoiena / Alto Deba","8.58","9.45","10.09","9.66","9.76","8.25","7.38","7.90","6.91","5.22","5.14","5.45","3.99"
"20400","Donostialdea / Donostia-San Sebastián","8.64","9.48","10.27","10.41","10.38","9.01","8.45","7.98","6.61","5.86","6.05","5.98","5.15"
"48300","Durangaldea / Duranguesado","9.21","10.16","11.05","11.11","10.78","9.30","8.30","8.59","6.79","4.36","4.52","5.30","4.05"
"48400","Enkartazioak / Encartaciones","13.62","14.31","14.92","14.35","14.00","11.59","10.45","9.59","7.25","6.23","5.69","6.02","5.73"
"01400","Errioxa Arabarra / Rioja Alavesa","12.61","12.97","14.08","12.80","11.91","9.83","7.64","7.41","6.34","4.02","3.85","3.80","3.58"
"48500","Gernika-Bermeo","10.02","10.35","11.04","10.95","10.53","9.09","8.18","7.42","6.44","5.11","5.18","5.77","4.64"
"20500","Goierri","8.79","9.35","10.19","10.41","10.51","9.31","8.25","7.57","5.85","4.48","5.01","5.52","4.74"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","5.20","5.84","6.01","6.39","6.54","5.66","5.45","4.83","5.00","3.34","3.58","4.21","2.80"
"01600","Kantauri Arabarra / Cantábrica Alavesa","12.64","13.65","14.44","13.77","13.34","11.04","9.92","9.35","7.89","6.57","7.09","7.58","6.91"
"48600","Markina-Ondarroa","7.56","8.09","8.54","8.11","9.00","8.03","7.23","6.88","6.85","4.22","4.70","5.84","4.18"
"48700","Plentzia-Mungia","9.14","9.18","9.79","9.58","9.32","8.36","8.26","7.49","6.08","5.22","5.74","6.50","4.70"
"20600","Tolosaldea / Tolosa","9.85","10.99","11.80","11.00","11.27","9.62","9.11","8.42","7.24","6.20","6.59","6.43","5.39"
"20700","Urola-Kostaldea / Urola Costa","8.43","9.48","9.82","10.19","10.12","8.60","8.09","7.51","5.82","5.21","5.22","5.78","4.78"
