"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","0.00","0.00","1.74","0.00","0.00","3.47","0.00","3.66","0.00","5.61","11.47","0.00","0.00"
"01200","Arabako Lautada / Llanada Alavesa","5.56","5.03","5.73","5.57","5.71","5.84","5.17","5.94","5.41","5.60","6.98","6.55","7.45"
"01300","Arabako Mendialdea / Montaña Alavesa","0.00","0.00","0.00","0.00","0.00","6.30","3.14","0.00","0.00","0.00","3.16","3.17","3.18"
"48100","Arratia Nerbioi / Arratia-Nervión","4.19","1.26","2.93","0.42","2.11","2.98","4.75","4.40","0.89","2.24","4.07","0.91","5.54"
"20200","Bidasoa Beherea / Bajo Bidasoa","4.84","5.13","5.51","5.14","4.77","6.71","5.94","8.32","7.31","6.54","6.85","6.40","10.12"
"48200","Bilbo Handia / Gran Bilbao","4.78","4.63","4.54","4.33","4.30","4.61","3.50","4.91","3.56","4.86","6.02","5.80","5.53"
"20100","Deba Beherea / Bajo Deba","3.59","3.77","3.95","3.96","3.62","3.63","5.28","5.13","4.78","5.53","3.51","5.90","3.12"
"20300","Debagoiena / Alto Deba","1.91","4.78","2.23","3.04","2.90","19.39","4.20","3.08","3.89","6.81","5.02","3.56","1.61"
"20400","Donostialdea / Donostia-San Sebastián","5.00","5.96","3.97","4.95","5.79","5.68","4.93","4.79","6.03","7.16","7.18","7.79","7.02"
"48300","Durangaldea / Duranguesado","3.86","7.03","4.38","4.48","3.08","4.13","1.97","4.00","3.39","3.19","4.19","4.76","5.11"
"48400","Enkartazioak / Encartaciones","2.49","1.24","7.13","1.24","2.50","2.21","1.28","2.92","1.96","2.63","2.31","2.32","6.34"
"01400","Errioxa Arabarra / Rioja Alavesa","0.00","2.66","2.66","0.88","1.75","0.88","0.89","1.79","0.00","6.39","0.93","0.00","4.83"
"48500","Gernika-Bermeo","1.73","4.30","3.65","13.50","3.23","2.81","4.36","2.86","4.19","4.86","3.56","4.92","6.75"
"20500","Goierri","3.37","3.67","2.93","3.22","5.43","3.09","3.55","3.31","2.74","2.30","2.16","3.73","2.81"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","0.00","3.46","2.31","0.00","0.00","3.49","0.00","2.45","1.23","2.52","0.00","2.64","1.36"
"01600","Kantauri Arabarra / Cantábrica Alavesa","4.06","3.76","2.60","2.32","1.16","2.04","4.70","1.78","6.24","1.79","2.10","2.71","3.93"
"48600","Markina-Ondarroa","1.92","4.18","0.76","2.64","3.01","3.39","5.25","26.51","2.28","0.76","2.30","2.30","3.83"
"48700","Plentzia-Mungia","2.99","2.32","4.63","2.34","3.63","3.32","14.55","3.31","3.93","3.38","4.68","4.58","4.91"
"20600","Tolosaldea / Tolosa","4.30","5.36","3.71","4.14","2.92","1.68","2.12","4.53","2.60","1.52","1.53","5.72","3.53"
"20700","Urola-Kostaldea / Urola Costa","2.26","2.84","1.49","2.99","6.00","3.71","2.50","3.54","3.42","4.15","2.61","4.53","5.01"
