"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","6.50","4.13","3.16","3.04","4.14","5.58","5.02","4.99","1.06",NA,NA
"01200","Arabako Lautada / Llanada Alavesa","5.85","6.38","6.69","6.66","6.20","7.45","7.64","9.24","3.32",NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","4.49","6.58","5.98","3.39","5.42","6.09","10.75","10.89","4.72",NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","5.59","6.08","5.08","5.62","3.77","4.73","5.00","7.32","2.84",NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","9.13","9.23","7.68","8.10","8.02","8.97","8.99","11.15","6.64",NA,NA
"48200","Bilbo Handia / Gran Bilbao","7.53","7.37","6.95","6.61","6.21","6.86","7.59","8.76","3.98",NA,NA
"20100","Deba Beherea / Bajo Deba","8.58","9.04","8.56","8.71","7.63","11.87","10.88","10.66","6.89",NA,NA
"20300","Debagoiena / Alto Deba","6.92","8.35","5.40","5.33","4.33","4.74","5.89","5.10","3.31",NA,NA
"20400","Donostialdea / Donostia-San Sebastián","7.54","7.36","6.86","6.52","6.09","6.90","7.33","8.70","3.65",NA,NA
"48300","Durangaldea / Duranguesado","4.95","5.15","4.98","5.50","5.30","5.66","6.55","5.89","1.77",NA,NA
"48400","Enkartazioak / Encartaciones","5.36","4.25","4.28","4.25","5.01","4.51","4.95","5.22","5.98",NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","2.57","2.05","2.11","1.83","2.30","2.20","2.70","6.57","0.89",NA,NA
"48500","Gernika-Bermeo","6.53","7.46","7.01","5.62","5.48","7.59","8.29","8.70","5.30",NA,NA
"20500","Goierri","9.01","7.90","8.08","9.27","6.84","11.57","9.52","12.00","3.84",NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","10.96","8.56","8.21","8.55","10.23","9.56","10.08","10.18","0.93",NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","3.42","3.52","4.36","4.29","4.54","5.53","6.85","7.20","2.98",NA,NA
"48600","Markina-Ondarroa","4.78","4.83","5.04","4.50","4.94","5.08","4.60","6.22","2.65",NA,NA
"48700","Plentzia-Mungia","7.96","9.06","7.63","6.95","6.23","7.61","8.36","9.86","4.73",NA,NA
"20600","Tolosaldea / Tolosa","6.76","5.41","5.73","6.51","5.76","5.28","5.10","8.23","3.88",NA,NA
"20700","Urola-Kostaldea / Urola Costa","7.30","7.32","6.93","7.44","7.33","8.20","9.73","11.82","4.72",NA,NA
