"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","62.30","62.72","61.41","59.65","59.18","59.97","58.62","58.79",NA,NA,NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","63.46","61.69","59.65","57.80","55.71","54.27","52.67","51.25",NA,NA,NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","70.85","71.18","70.05","69.14","67.77","64.83","62.19","62.28",NA,NA,NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","64.53","62.57","61.29","59.32","58.00","56.91","56.31","55.47",NA,NA,NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","66.72","65.45","63.97","62.33","60.48","58.75","57.13","55.30",NA,NA,NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","65.19","64.12","62.75","61.04","59.79","58.65","57.39","56.22",NA,NA,NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","71.07","69.27","67.50","65.71","64.38","62.56","60.81","59.78",NA,NA,NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","70.16","67.92","65.93","64.18","63.08","61.30","58.82","56.94",NA,NA,NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","66.88","65.82","64.50","62.99","61.50","60.15","58.42","57.06",NA,NA,NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","63.84","62.50","61.11","59.20","57.83","56.23","54.96","53.40",NA,NA,NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","63.02","61.92","60.72","59.13","57.85","56.88","56.25","55.79",NA,NA,NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","68.23","67.60","66.72","65.92","64.66","63.71","62.12","60.83",NA,NA,NA,NA,NA,NA
"48500","Gernika-Bermeo","68.29","66.89","64.88","63.33","62.37","61.53","60.45","59.15",NA,NA,NA,NA,NA,NA
"20500","Goierri","70.74","69.62","68.14","66.71","65.14","63.48","61.54","60.01",NA,NA,NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","61.43","59.71","58.42","57.29","56.78","54.77","54.79","54.33",NA,NA,NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","65.76","63.41","61.66","59.30","58.05","56.74","55.09","53.97",NA,NA,NA,NA,NA,NA
"48600","Markina-Ondarroa","68.14","67.01","65.82","64.63","63.16","62.35","61.30","59.47",NA,NA,NA,NA,NA,NA
"48700","Plentzia-Mungia","59.51","58.16","56.82","55.66","54.33","53.03","51.98","51.09",NA,NA,NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","69.58","68.21","66.48","64.76","63.15","61.83","60.10","58.78",NA,NA,NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","67.33","66.56","65.05","63.28","61.88","60.76","59.07","57.59",NA,NA,NA,NA,NA,NA
