"Lurralde kodea","Lurralde","2010","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","191.95","116.29","114.91","113.64","115.04","112.69"
"01200","Arabako Lautada / Llanada Alavesa","16.66","16.56","15.09","13.70","13.77","13.91"
"01300","Arabako Mendialdea / Montaña Alavesa","59.97","59.77","55.59","55.75","55.92","56.15"
"48100","Arratia Nerbioi / Arratia-Nervión","34.24","33.70","27.32","27.76","28.26","27.65"
"20200","Bidasoa Beherea / Bajo Bidasoa","26.97","27.13","27.05","26.52","26.72","26.67"
"48200","Bilbo Handia / Gran Bilbao","11.67","11.04","10.45","10.37","10.06","9.86"
"20100","Deba Beherea / Bajo Deba","24.71","32.80","32.26","32.16","31.68","31.82"
"20300","Debagoiena / Alto Deba","13.81","13.64","12.95","13.13","13.14","10.54"
"20400","Donostialdea / Donostia-San Sebastián","21.72","21.09","19.63","20.03","19.99","20.00"
"48300","Durangaldea / Duranguesado","8.22","8.17","8.15","7.76","7.85","7.92"
"48400","Enkartazioak / Encartaciones","16.65","15.76","15.50","14.45","14.34","14.47"
"01400","Errioxa Arabarra / Rioja Alavesa","76.06","64.08","62.11","59.12","60.18","54.13"
"48500","Gernika-Bermeo","30.32","30.44","28.49","28.02","27.97","28.11"
"20500","Goierri","11.02","10.20","10.09","9.71","9.12","9.23"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","43.47","43.85","44.53","43.07","43.67","45.44"
"01600","Kantauri Arabarra / Cantábrica Alavesa","7.76","7.10","6.63","5.61","5.64","5.69"
"48600","Markina-Ondarroa","52.17","54.47","53.30","53.49","53.63","53.63"
"48700","Plentzia-Mungia","28.46","29.85","30.00","31.02","31.13","29.22"
"20600","Tolosaldea / Tolosa","9.32","9.37","8.21","8.32","8.20","8.24"
"20700","Urola-Kostaldea / Urola Costa","69.60","69.35","61.05","62.03","62.32","61.96"
