"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","21.06","21.10","20.72","20.62","20.91","21.40","20.96","21.78","21.71","22.51","22.98","23.10","23.41","24.01"
"01200","Arabako Lautada / Llanada Alavesa","19.61","19.24","18.77","18.21","17.61","17.28","16.88","16.47","16.18","16.05","15.89","15.57","15.57","15.44"
"01300","Arabako Mendialdea / Montaña Alavesa","27.35","27.36","27.04","26.95","26.63","26.93","26.36","26.73","27.15","27.55","27.32","27.57","27.97","28.53"
"48100","Arratia Nerbioi / Arratia-Nervión","19.80","19.43","19.14","18.70","18.67","18.58","18.59","18.65","18.90","19.10","19.37","19.57","19.98","20.43"
"20200","Bidasoa Beherea / Bajo Bidasoa","20.69","20.25","19.77","19.16","18.59","18.05","17.57","17.17","16.85","16.60","16.38","16.17","16.30","16.37"
"48200","Bilbo Handia / Gran Bilbao","22.63","22.31","21.93","21.36","20.97","20.65","20.30","19.96","19.71","19.57","19.41","19.18","19.16","19.02"
"20100","Deba Beherea / Bajo Deba","22.72","22.47","22.33","21.97","21.88","21.69","21.36","21.15","21.05","21.18","21.18","21.08","21.10","21.09"
"20300","Debagoiena / Alto Deba","22.40","21.92","21.44","21.00","20.80","20.38","19.91","19.41","19.13","19.01","18.83","18.69","18.53","18.27"
"20400","Donostialdea / Donostia-San Sebastián","21.93","21.64","21.25","20.76","20.34","19.93","19.47","19.11","18.78","18.64","18.48","18.16","18.09","18.01"
"48300","Durangaldea / Duranguesado","19.73","19.39","19.06","18.43","18.07","17.77","17.47","17.07","16.74","16.61","16.50","16.29","16.28","16.15"
"48400","Enkartazioak / Encartaciones","21.25","21.04","20.81","20.37","20.21","20.14","20.00","20.07","20.17","20.44","20.65","20.76","21.03","21.45"
"01400","Errioxa Arabarra / Rioja Alavesa","20.23","20.22","20.00","20.14","19.87","19.99","20.00","19.93","19.97","20.32","20.83","21.31","21.98","22.31"
"48500","Gernika-Bermeo","22.64","22.41","21.96","21.42","21.30","21.32","21.07","20.85","20.76","20.85","21.10","21.10","21.27","21.52"
"20500","Goierri","20.98","20.80","20.52","20.11","19.81","19.56","19.11","18.90","18.80","19.05","19.10","18.88","18.86","18.76"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","16.74","16.17","15.87","15.25","15.03","14.79","14.73","14.85","15.30","15.51","15.83","15.73","16.17","16.57"
"01600","Kantauri Arabarra / Cantábrica Alavesa","21.82","21.28","20.80","20.20","19.81","19.46","18.94","18.63","18.36","18.02","17.84","17.56","17.35","17.11"
"48600","Markina-Ondarroa","23.08","22.78","22.46","22.19","21.85","21.69","21.52","21.17","21.01","21.17","21.06","20.75","20.83","20.82"
"48700","Plentzia-Mungia","15.98","15.70","15.25","14.92","14.55","14.30","14.11","13.99","13.90","13.89","14.04","14.09","14.40","14.43"
"20600","Tolosaldea / Tolosa","19.64","19.37","19.01","18.53","18.12","18.03","17.62","17.40","17.21","17.32","17.20","17.18","17.21","17.29"
"20700","Urola-Kostaldea / Urola Costa","18.71","18.43","18.04","17.56","17.18","16.92","16.57","16.21","15.99","16.05","15.99","15.93","16.00","16.05"
