"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","10.70","8.81","8.71","8.74","8.65","10.40","10.43","7.19","9.09",NA,NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","1.68","1.57","1.59","1.63","1.35","1.64","1.73","1.67","1.70",NA,NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","6.77","6.71","6.60","6.40","6.29","6.31","6.29","6.28","6.30",NA,NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","3.36","3.35","3.35","3.35","3.37","3.81","3.43","3.02","3.06",NA,NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","2.80","2.93","2.82","2.82","2.58","2.84","2.84","2.71","2.85",NA,NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","0.65","0.65","0.67","0.68","0.67","0.67","0.63","0.63","0.62",NA,NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","1.08","1.08","1.08","1.26","1.26","1.45","1.82","1.64","1.83",NA,NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","1.44","1.75","1.75","1.44","1.28","1.29","1.29","1.29","1.46",NA,NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","1.16","1.16","1.16","1.16","1.13","1.13","1.23","1.23","1.33",NA,NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","1.52","1.63","1.53","1.53","1.73","1.75","1.66","1.56","1.47",NA,NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","2.18","1.55","1.55","1.55","1.55","1.57","1.59","1.60","1.62",NA,NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","2.68","2.66","2.66","2.66","2.62","2.63","2.64","2.66","2.66",NA,NA,NA,NA,NA
"48500","Gernika-Bermeo","1.30","1.30","1.29","1.29","1.29","1.51","1.52","1.74","1.75",NA,NA,NA,NA,NA
"20500","Goierri","1.91","2.05","1.91","2.05","2.20","2.35","2.35","2.22","2.23",NA,NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","2.31","2.30","2.32","2.29","2.27","3.46","2.35","2.39","2.43",NA,NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","1.45","1.45","1.74","1.74","1.45","1.45","1.46","1.17","1.48",NA,NA,NA,NA,NA
"48600","Markina-Ondarroa","1.92","1.53","1.52","1.89","1.88","1.88","2.26","2.62","2.64",NA,NA,NA,NA,NA
"48700","Plentzia-Mungia","1.40","1.41","1.42","1.07","1.26","1.28","1.11","1.13","1.35",NA,NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","2.05","1.84","1.85","1.86","1.87","2.10","2.11","2.12","1.93",NA,NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","1.46","1.60","1.61","1.76","1.50","1.92","1.79","2.08","1.97",NA,NA,NA,NA,NA
