"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"01100","Arabako Ibarrak / Valles Alaveses","57.23","54.96","54.74","55.86","51.63","47.68","45.11","45.13",NA,NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","85.77","84.26","83.91","84.86","84.13","83.93","80.62","80.03",NA,NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","69.23","62.50","63.31","64.52","56.70","60.00","61.08","70.68",NA,NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","65.62","64.11","66.48","67.12","66.53","64.16","63.81","60.25",NA,NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","67.11","66.93","66.58","66.90","67.81","67.78","66.72","65.57",NA,NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","79.42","79.92","80.01","80.55","81.06","81.33","81.12","80.95",NA,NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","86.57","85.97","85.07","84.06","81.93","80.66","80.92","79.79",NA,NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","79.40","76.88","76.10","72.96","70.73","69.33","67.47","67.10",NA,NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","73.92","72.45","71.55","71.12","71.58","71.45","71.05","69.32",NA,NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","64.91","64.73","64.89","66.81","66.34","64.76","63.79","63.63",NA,NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","56.82","55.94","55.66","55.87","54.73","49.55","46.27","43.62",NA,NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","64.54","63.86","65.04","63.52","61.77","61.00","59.94","53.27",NA,NA,NA,NA,NA
"48500","Gernika-Bermeo","41.74","43.46","45.93","48.43","47.92","47.78","49.35","47.79",NA,NA,NA,NA,NA
"20500","Goierri","50.49","49.66","48.56","46.01","43.42","43.51","44.68","43.23",NA,NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","60.70","55.29","53.21","50.89","60.53","54.47","52.89","53.15",NA,NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","77.77","76.31","75.61","76.94","76.67","76.66","75.59","73.63",NA,NA,NA,NA,NA
"48600","Markina-Ondarroa","77.82","76.91","74.00","73.73","73.49","72.74","70.29","69.10",NA,NA,NA,NA,NA
"48700","Plentzia-Mungia","69.03","68.77","70.16","72.64","71.83","72.23","71.83","71.72",NA,NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","75.90","73.69","71.32","68.63","67.02","66.40","67.10","66.27",NA,NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","79.19","78.81","78.09","77.42","77.16","76.71","75.27","74.94",NA,NA,NA,NA,NA
