"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","3289.36","3251.67","3212.61","3222.65","3150.61","3128.14","3127.06","170.58","139.97","65.23","38.71"
"01200","Arabako Lautada / Llanada Alavesa","258.37","259.11","256.11","240.47","236.01","229.60","225.27","72.61","70.40","26.32","18.52"
"01300","Arabako Mendialdea / Montaña Alavesa","1773.87","1757.21","1728.23","1674.14","1615.84","1609.85","1604.28","350.99","317.94","154.55","108.05"
"48100","Arratia Nerbioi / Arratia-Nervión","164.52","164.37","161.58","161.28","160.68","159.77","158.22","34.40","32.13","24.15","40.51"
"20200","Bidasoa Beherea / Bajo Bidasoa","71.41","71.53","71.58","50.44","50.63","48.13","40.57","37.33","35.93","18.66","14.51"
"48200","Bilbo Handia / Gran Bilbao","30.42","30.37","29.77","29.24","27.87","27.62","22.22","15.21","14.58","9.49","6.00"
"20100","Deba Beherea / Bajo Deba","72.64","72.64","72.76","47.12","43.30","40.27","39.81","39.68","35.14","24.63","17.80"
"20300","Debagoiena / Alto Deba","124.77","124.68","119.25","119.50","118.86","113.54","112.35","63.71","54.29","31.82","23.71"
"20400","Donostialdea / Donostia-San Sebastián","82.17","82.32","80.12","71.57","69.98","67.64","58.97","14.93","13.70","10.94","9.38"
"48300","Durangaldea / Duranguesado","102.50","102.67","100.19","98.69","95.15","93.16","77.40","42.55","38.97","17.55","18.25"
"48400","Enkartazioak / Encartaciones","39.56","39.39","38.15","38.09","38.50","36.82","35.58","26.63","25.60","24.67","16.88"
"01400","Errioxa Arabarra / Rioja Alavesa","1598.10","1582.40","1583.94","1476.89","1419.20","1349.24","1151.41","271.29","263.00","132.18","133.88"
"48500","Gernika-Bermeo","78.82","78.75","74.37","73.10","67.74","68.02","64.92","18.57","16.91","13.82","16.38"
"20500","Goierri","115.61","115.48","114.58","112.77","110.77","101.94","98.46","59.27","53.73","25.59","20.08"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","1086.10","1083.85","1074.28","1062.83","1029.40","990.54","1008.58","331.97","272.15","89.38","108.86"
"01600","Kantauri Arabarra / Cantábrica Alavesa","84.23","84.12","82.15","82.16","82.49","82.59","63.39","29.94","28.90","25.25","22.29"
"48600","Markina-Ondarroa","97.30","97.04","92.24","91.65","88.47","86.27","78.67","57.10","48.12","16.11","0.00"
"48700","Plentzia-Mungia","70.15","70.71","66.26","66.35","64.23","63.70","59.22","49.19","41.78","23.74","21.72"
"20600","Tolosaldea / Tolosa","50.11","50.21","47.12","47.22","46.99","46.81","39.87","31.25","19.30","12.88","13.26"
"20700","Urola-Kostaldea / Urola Costa","122.08","122.54","123.49","123.71","123.61","108.57","62.87","55.94","53.20","17.19","20.67"
