"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","572.79","573.14","543.27","492.83","482.45","414.43","300.71","313.02","313.56","212.11","148.92"
"01200","Arabako Lautada / Llanada Alavesa","201.93","201.92","194.03","193.57","188.87","188.72","174.39","156.29","99.43","93.14","60.30"
"01300","Arabako Mendialdea / Montaña Alavesa","724.35","725.02","689.31","633.80","597.30","599.75","550.49","451.26","351.50","49.23","489.85"
"48100","Arratia Nerbioi / Arratia-Nervión","184.91","185.12","180.42","178.45","159.00","145.36","132.49","103.97","75.22","68.68","152.20"
"20200","Bidasoa Beherea / Bajo Bidasoa","145.10","145.12","136.64","136.19","136.05","135.73","131.39","79.56","66.00","56.39","20.47"
"48200","Bilbo Handia / Gran Bilbao","44.78","44.78","44.28","42.31","41.88","39.77","35.57","22.35","13.53","7.27","8.75"
"20100","Deba Beherea / Bajo Deba","46.81","46.80","41.68","37.77","33.56","31.20","29.81","25.67","25.73","21.75","15.45"
"20300","Debagoiena / Alto Deba","120.54","120.50","107.47","101.92","100.25","95.13","92.14","65.25","58.73","51.68","46.93"
"20400","Donostialdea / Donostia-San Sebastián","65.28","64.74","63.18","58.04","57.77","57.46","56.72","55.61","49.08","34.63","32.47"
"48300","Durangaldea / Duranguesado","132.89","132.86","123.43","120.16","116.98","116.14","109.37","108.78","105.35","78.80","17.99"
"48400","Enkartazioak / Encartaciones","172.46","172.49","153.54","144.33","110.21","71.45","68.31","66.98","49.43","41.26","43.94"
"01400","Errioxa Arabarra / Rioja Alavesa","119.54","119.99","119.66","119.53","117.25","117.55","102.99","98.89","95.22","48.72","163.24"
"48500","Gernika-Bermeo","178.91","177.96","168.58","158.21","148.33","139.49","138.09","121.04","94.97","71.70","199.89"
"20500","Goierri","60.82","60.79","47.39","43.70","37.66","32.46","25.75","20.15","15.23","8.72","34.05"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","598.94","581.66","564.38","523.96","483.49","486.62","484.31","491.11","414.38","355.91","274.70"
"01600","Kantauri Arabarra / Cantábrica Alavesa","162.15","162.12","157.35","155.94","154.86","148.32","137.89","117.62","43.16","22.60","39.37"
"48600","Markina-Ondarroa","191.39","191.42","171.13","167.40","161.89","160.48","141.16","138.94","135.62","135.05","0.00"
"48700","Plentzia-Mungia","242.27","240.49","241.78","233.39","228.97","223.31","207.75","178.96","158.08","112.73","25.57"
"20600","Tolosaldea / Tolosa","84.02","73.71","61.32","59.18","33.89","32.12","31.01","27.85","26.07","20.64","101.48"
"20700","Urola-Kostaldea / Urola Costa","75.15","74.17","65.11","58.13","53.58","53.26","38.05","31.96","26.74","15.19","20.39"
