"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","11.62","11.67","12.05","11.69","11.78","11.55","11.32","11.71","11.84","11.96","11.84","11.68","11.21","11.18"
"01200","Arabako Lautada / Llanada Alavesa","9.34","9.12","9.07","8.98","8.79","8.59","8.38","8.13","7.89","7.66","7.40","7.15","6.99","6.77"
"01300","Arabako Mendialdea / Montaña Alavesa","14.79","14.92","15.24","15.40","15.37","15.31","15.04","15.42","15.62","15.73","15.20","15.11","15.23","14.85"
"48100","Arratia Nerbioi / Arratia-Nervión","10.37","10.34","10.45","10.46","10.65","10.62","10.50","10.47","10.39","10.27","10.11","10.09","9.97","9.80"
"20200","Bidasoa Beherea / Bajo Bidasoa","9.88","9.60","9.56","9.44","9.29","9.06","8.76","8.55","8.31","8.07","7.81","7.58","7.40","7.28"
"48200","Bilbo Handia / Gran Bilbao","11.72","11.57","11.61","11.46","11.27","10.99","10.73","10.40","10.05","9.66","9.26","8.90","8.55","8.15"
"20100","Deba Beherea / Bajo Deba","11.88","11.89","12.05","12.12","12.19","12.01","11.87","11.49","11.26","10.94","10.60","10.22","9.89","9.49"
"20300","Debagoiena / Alto Deba","11.26","11.09","11.10","10.90","10.85","10.53","10.29","9.90","9.57","9.28","8.88","8.58","8.22","7.83"
"20400","Donostialdea / Donostia-San Sebastián","10.78","10.63","10.65","10.58","10.44","10.21","9.98","9.71","9.46","9.17","8.91","8.63","8.33","8.06"
"48300","Durangaldea / Duranguesado","9.62","9.38","9.42","9.23","9.08","8.77","8.53","8.25","7.95","7.69","7.44","7.22","6.96","6.65"
"48400","Enkartazioak / Encartaciones","11.09","11.18","11.41","11.48","11.52","11.40","11.23","11.11","10.86","10.64","10.62","10.53","10.34","10.22"
"01400","Errioxa Arabarra / Rioja Alavesa","10.90","11.12","11.38","11.45","11.63","11.43","11.40","11.13","10.84","10.79","10.68","10.71","10.54","10.52"
"48500","Gernika-Bermeo","11.70","11.62","11.74","11.72","11.77","11.68","11.53","11.24","11.05","10.78","10.74","10.51","10.27","10.05"
"20500","Goierri","11.02","10.93","10.91","10.82","10.55","10.28","9.91","9.59","9.32","8.99","8.80","8.45","8.16","7.80"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","7.79","7.80","7.78","7.75","7.90","7.61","7.71","7.81","7.94","8.07","7.89","7.62","7.77","7.79"
"01600","Kantauri Arabarra / Cantábrica Alavesa","10.86","10.53","10.40","10.25","9.96","9.58","9.16","8.90","8.60","8.28","7.83","7.43","7.16","6.84"
"48600","Markina-Ondarroa","12.15","12.02","12.19","12.13","11.97","11.78","11.44","11.09","10.79","10.63","10.40","9.90","9.63","9.40"
"48700","Plentzia-Mungia","7.35","7.28","7.33","7.32","7.33","7.26","7.14","7.11","6.98","6.81","6.69","6.58","6.48","6.32"
"20600","Tolosaldea / Tolosa","9.39","9.26","9.30","9.31","9.28","9.21","9.02","8.90","8.78","8.73","8.44","8.19","7.97","7.81"
"20700","Urola-Kostaldea / Urola Costa","8.85","8.82","8.84","8.84","8.81","8.70","8.52","8.30","8.09","7.95","7.72","7.50","7.37","7.20"
