"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"01100","Arabako Ibarrak / Valles Alaveses","1.47","1.47","1.24","1.23","1.14","1.14","1.15","1.15","1.15","1.15","1.15","1.13","1.13"
"01200","Arabako Lautada / Llanada Alavesa","5.56","5.52","5.55","5.58","5.51","5.36","5.35","5.25","5.25","5.22","5.22","5.13","4.96"
"01300","Arabako Mendialdea / Montaña Alavesa","0.63","0.63","0.63","0.63","0.58","0.58","0.58","0.58","0.58","0.58","0.58","0.58","0.58"
"48100","Arratia Nerbioi / Arratia-Nervión","1.33","1.33","1.34","1.33","1.09","1.08","1.03","1.08","1.07","1.06","1.07","1.02","0.84"
"20200","Bidasoa Beherea / Bajo Bidasoa","12.25","13.31","13.17","12.61","10.52","11.65","11.55","11.44","11.45","11.38","11.53","11.73","8.28"
"48200","Bilbo Handia / Gran Bilbao","16.73","16.89","17.53","17.95","16.85","17.03","16.47","16.38","16.31","15.76","15.74","15.71","13.94"
"20100","Deba Beherea / Bajo Deba","2.71","2.75","2.75","2.59","2.56","2.58","2.60","2.60","2.56","2.31","2.18","2.09","2.18"
"20300","Debagoiena / Alto Deba","2.42","2.42","2.42","2.38","1.98","1.98","1.95","1.75","1.75","1.76","1.76","1.74","1.74"
"20400","Donostialdea / Donostia-San Sebastián","9.48","9.45","9.30","9.31","8.68","8.68","7.94","7.84","7.81","7.19","7.17","7.35","6.92"
"48300","Durangaldea / Duranguesado","4.21","4.27","4.27","4.25","3.25","3.15","3.15","3.15","3.14","3.02","3.06","3.20","3.12"
"48400","Enkartazioak / Encartaciones","1.03","1.03","1.03","1.03","1.08","1.08","1.08","1.08","1.08","1.08","1.03","1.02","1.05"
"01400","Errioxa Arabarra / Rioja Alavesa","2.23","2.23","2.23","2.25","2.01","1.82","1.82","1.84","1.83","1.83","1.82","1.80","1.85"
"48500","Gernika-Bermeo","2.00","2.03","2.06","2.02","2.01","1.97","1.96","1.96","1.96","1.95","1.95","1.93","1.89"
"20500","Goierri","2.44","2.40","2.41","2.38","2.20","2.12","2.08","2.08","2.10","2.25","2.26","2.10","2.01"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","2.29","2.31","2.29","2.24","2.07","2.13","2.12","2.12","2.13","2.13","2.10","2.10","2.05"
"01600","Kantauri Arabarra / Cantábrica Alavesa","2.13","2.13","2.13","2.10","1.95","1.97","1.97","1.91","1.90","2.09","2.08","2.11","2.05"
"48600","Markina-Ondarroa","1.39","1.39","1.30","1.44","1.39","1.38","1.38","1.38","1.37","1.35","1.34","1.34","1.26"
"48700","Plentzia-Mungia","6.47","6.35","6.34","6.50","5.32","5.24","5.44","5.41","5.42","5.27","5.09","5.10","4.71"
"20600","Tolosaldea / Tolosa","1.91","1.91","1.90","1.90","1.80","1.82","1.81","1.64","1.63","1.54","1.52","1.50","1.50"
"20700","Urola-Kostaldea / Urola Costa","2.63","2.63","2.62","2.62","2.53","2.60","2.58","2.58","2.46","2.22","2.10","2.09","2.08"
