"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","0.00","0.00","0.00","0.00","0.00","0.73","0.74","0.76","0.77","0.79","0.00","0.00","0.00"
"01200","Arabako Lautada / Llanada Alavesa","1.65","4.59","5.97","7.40","7.49","10.29","9.24","11.07","13.98","17.44","15.36","13.51","10.95"
"01300","Arabako Mendialdea / Montaña Alavesa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.91","1.92","4.48"
"48100","Arratia Nerbioi / Arratia-Nervión","0.00","0.00","1.53","1.54","3.90","6.57","6.65","5.12","6.27","4.13","1.39","1.40","1.41"
"20200","Bidasoa Beherea / Bajo Bidasoa","1.32","1.33","0.92","0.32","0.43","0.43","0.43","0.43","0.44","3.82","3.87","3.91","3.96"
"48200","Bilbo Handia / Gran Bilbao","1.93","2.08","2.27","1.98","1.63","1.72","1.48","2.47","3.17","3.79","3.98","4.04","2.85"
"20100","Deba Beherea / Bajo Deba","2.70","3.68","5.74","4.98","5.00","4.48","4.22","3.97","4.79","7.72","6.86","5.83","4.00"
"20300","Debagoiena / Alto Deba","2.24","2.25","5.07","4.44","4.95","4.95","4.96","4.24","4.38","4.17","4.35","4.34","2.48"
"20400","Donostialdea / Donostia-San Sebastián","1.98","1.74","2.04","1.95","1.78","1.75","2.38","2.69","3.85","4.49","3.54","3.42","4.27"
"48300","Durangaldea / Duranguesado","2.87","4.10","5.69","5.50","5.54","3.84","2.61","1.97","2.71","3.08","2.46","2.47","1.47"
"48400","Enkartazioak / Encartaciones","0.00","0.00","0.00","2.28","2.31","2.33","2.35","2.37","1.89","1.90","3.71","4.90","4.92"
"01400","Errioxa Arabarra / Rioja Alavesa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.47","2.57","2.61","3.44","4.57"
"48500","Gernika-Bermeo","1.12","1.12","1.77","3.64","2.53","2.54","2.56","1.91","1.23","1.23","1.24","3.18","3.18"
"20500","Goierri","1.11","1.12","1.12","1.37","0.82","0.63","0.73","0.90","3.33","5.02","5.04","5.25","5.32"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","5.97","6.00","6.03","5.87","7.64","3.41","8.96","9.17","8.62","6.98","7.16","2.27","5.26"
"01600","Kantauri Arabarra / Cantábrica Alavesa","0.00","0.70","5.73","9.67","9.72","9.78","9.95","7.89","4.60","4.61","5.47","6.41","3.31"
"48600","Markina-Ondarroa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.76","5.20","5.20","5.20","5.14","4.38"
"48700","Plentzia-Mungia","0.00","0.00","0.00","0.00","0.00","0.00","1.48","1.51","1.54","2.00","2.04","0.44","0.45"
"20600","Tolosaldea / Tolosa","0.54","1.31","1.32","1.37","1.38","1.39","1.56","1.57","2.28","3.48","3.50","3.74","3.75"
"20700","Urola-Kostaldea / Urola Costa","0.47","0.48","0.48","0.48","0.00","0.00","0.00","0.00","0.00","2.05","2.07","3.52","3.55"
