"Lurralde kodea","Lurralde","2015","2014","2013","2012"
"01100","Arabako Ibarrak / Valles Alaveses","25.81","24.79","24.85","24.42"
"01200","Arabako Lautada / Llanada Alavesa","21.30","21.37","21.96","22.62"
"01300","Arabako Mendialdea / Montaña Alavesa","25.30","24.55","26.49","26.15"
"48100","Arratia Nerbioi / Arratia-Nervión","25.71","25.79","26.93","27.04"
"20200","Bidasoa Beherea / Bajo Bidasoa","13.71","13.87","14.26","14.95"
"48200","Bilbo Handia / Gran Bilbao","12.94","13.21","13.70","13.91"
"20100","Deba Beherea / Bajo Deba","33.31","33.69","34.81","35.72"
"20300","Debagoiena / Alto Deba","37.75","40.89","42.97","43.77"
"20400","Donostialdea / Donostia-San Sebastián","13.65","13.78","14.09","14.45"
"48300","Durangaldea / Duranguesado","32.16","32.22","33.00","33.43"
"48400","Enkartazioak / Encartaciones","16.05","15.69","16.23","16.76"
"01400","Errioxa Arabarra / Rioja Alavesa","20.92","21.28","21.71","21.44"
"48500","Gernika-Bermeo","19.94","20.01","20.32","20.90"
"20500","Goierri","35.61","35.96","36.77","37.46"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","20.38","21.59","22.60","22.91"
"01600","Kantauri Arabarra / Cantábrica Alavesa","29.71","30.58","32.39","32.86"
"48600","Markina-Ondarroa","30.75","30.55","30.81","31.72"
"48700","Plentzia-Mungia","14.49","14.98","15.56","16.06"
"20600","Tolosaldea / Tolosa","28.70","28.85","29.53","29.95"
"20700","Urola-Kostaldea / Urola Costa","28.15","28.30","29.35","30.64"
