"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"01100","Arabako Ibarrak / Valles Alaveses","5.74","4.76","3.68","6.21","4.91","5.36","7.14","5.92","6.29","5.43","6.00","10.00"
"01200","Arabako Lautada / Llanada Alavesa","3.67","3.76","3.74","3.64","3.57","3.45","3.34","3.08","2.91","2.62","2.36","1.07"
"01300","Arabako Mendialdea / Montaña Alavesa","12.50","6.49","5.68","6.49","8.33","8.93","7.94","9.68","8.20","9.80","9.80","4.00"
"48100","Arratia Nerbioi / Arratia-Nervión","5.03","5.08","4.68","4.87","4.84","4.99","5.04","4.85","5.31","4.73","4.10","3.10"
"20200","Bidasoa Beherea / Bajo Bidasoa","3.75","3.57","3.39","3.45","3.33","3.22","2.90","2.70","2.37","2.31","2.22","1.43"
"48200","Bilbo Handia / Gran Bilbao","3.53","3.41","3.42","3.39","3.35","3.21","3.17","3.11","3.04","2.97","2.24","1.91"
"20100","Deba Beherea / Bajo Deba","3.85","4.07","3.97","3.92","3.95","3.97","4.00","3.50","3.58","3.14","3.04","1.52"
"20300","Debagoiena / Alto Deba","5.21","5.22","5.56","5.62","5.26","5.34","5.45","5.98","5.25","5.34","5.31","4.44"
"20400","Donostialdea / Donostia-San Sebastián","4.74","4.62","4.77","4.70","4.61","4.62","4.52","4.50","4.24","3.85","3.58","2.52"
"48300","Durangaldea / Duranguesado","4.44","4.52","4.42","4.27","4.51","4.34","4.32","4.06","4.41","3.96","3.75","2.96"
"48400","Enkartazioak / Encartaciones","4.15","4.20","4.25","4.22","3.96","3.89","4.50","4.51","4.55","3.86","3.39","2.92"
"01400","Errioxa Arabarra / Rioja Alavesa","5.23","5.26","5.74","5.78","5.57","5.18","6.16","5.38","5.57","4.93","5.49","4.56"
"48500","Gernika-Bermeo","4.74","4.75","4.56","4.56","4.75","4.65","4.65","4.40","4.56","4.47","3.92","4.30"
"20500","Goierri","5.34","5.13","5.06","5.08","5.11","5.05","4.73","4.90","4.79","4.67","4.72","2.81"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","5.91","6.35","6.03","5.32","5.56","5.96","5.39","5.74","4.71","4.89","4.25","2.13"
"01600","Kantauri Arabarra / Cantábrica Alavesa","3.92","3.91","4.08","4.24","4.37","4.12","3.73","3.33","3.66","3.60","3.16","2.69"
"48600","Markina-Ondarroa","5.87","5.39","5.66","5.88","5.62","5.59","5.71","5.79","5.01","4.78","4.84","4.07"
"48700","Plentzia-Mungia","4.51","4.39","4.53","4.63","4.08","3.28","2.91","2.88","2.94","3.14","3.19","2.57"
"20600","Tolosaldea / Tolosa","5.79","5.62","5.62","6.03","5.78","5.70","5.50","5.49","4.76","4.91","4.62","2.85"
"20700","Urola-Kostaldea / Urola Costa","4.46","4.19","4.44","4.74","4.46","4.33","4.30","4.14","4.15","3.98","3.41","2.65"
