"Lurralde kodea","Lurralde","2011","2010","2009","2008"
"01100","Arabako Ibarrak / Valles Alaveses","2.74","2.74","2.79","2.81"
"01200","Arabako Lautada / Llanada Alavesa","5.50","5.54","5.54","5.55"
"01300","Arabako Mendialdea / Montaña Alavesa","1.13","1.13","1.13","1.13"
"48100","Arratia Nerbioi / Arratia-Nervión","8.47","8.45","8.05","8.08"
"20200","Bidasoa Beherea / Bajo Bidasoa","14.23","14.24","14.19","14.27"
"48200","Bilbo Handia / Gran Bilbao","11.13","11.21","11.25","11.10"
"20100","Deba Beherea / Bajo Deba","4.16","4.16","4.16","4.59"
"20300","Debagoiena / Alto Deba","6.54","6.45","6.09","6.13"
"20400","Donostialdea / Donostia-San Sebastián","6.79","7.27","7.25","7.20"
"48300","Durangaldea / Duranguesado","11.21","11.22","11.21","11.31"
"48400","Enkartazioak / Encartaciones","9.05","9.03","9.03","9.11"
"01400","Errioxa Arabarra / Rioja Alavesa","0.00","0.00","0.00","0.00"
"48500","Gernika-Bermeo","8.92","8.92","9.36","9.42"
"20500","Goierri","6.24","6.29","6.29","6.56"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","2.03","2.03","2.03","2.05"
"01600","Kantauri Arabarra / Cantábrica Alavesa","9.70","9.80","9.80","9.84"
"48600","Markina-Ondarroa","6.17","6.17","6.09","6.54"
"48700","Plentzia-Mungia","5.59","5.58","5.60","5.64"
"20600","Tolosaldea / Tolosa","15.06","15.21","15.68","15.58"
"20700","Urola-Kostaldea / Urola Costa","20.63","20.71","20.71","20.60"
