"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","2.28","2.68","3.01","3.09","2.43","2.09","1.75","1.75",NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","3.12","2.88","2.70","2.58","2.49","2.54","2.16","2.15",NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","1.87","1.86","1.75","2.13","1.76","2.05","1.85","1.77",NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","3.04","2.61","2.71","2.44","2.43","2.57","2.40","2.19",NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","3.10","3.03","3.07","2.71","2.44","2.53","2.27","2.23",NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","3.13","3.00","2.88","2.92","2.79","2.89","2.34","2.52",NA,NA,NA
"20100","Deba Beherea / Bajo Deba","2.41","2.23","2.20","1.98","2.05","2.15","1.82","1.77",NA,NA,NA
"20300","Debagoiena / Alto Deba","2.45","2.31","2.20","2.07","2.11","2.37","1.87","1.98",NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","3.06","2.88","2.83","2.85","2.86","3.01","2.57","2.54",NA,NA,NA
"48300","Durangaldea / Duranguesado","4.13","3.55","3.69","3.30","3.08","3.12","2.39","2.59",NA,NA,NA
"48400","Enkartazioak / Encartaciones","3.07","2.68","2.73","2.55","2.36","2.24","2.05","2.08",NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","2.43","2.31","2.25","2.19","1.92","2.52","1.60","1.48",NA,NA,NA
"48500","Gernika-Bermeo","2.38","2.21","2.21","2.29","2.50","2.28","2.02","1.99",NA,NA,NA
"20500","Goierri","2.26","2.18","2.08","1.79","1.90","1.98","1.55","1.53",NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","2.38","2.37","2.23","1.93","1.93","2.13","1.73","2.07",NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","5.85","5.07","4.13","3.87","3.82","3.41","2.96","2.83",NA,NA,NA
"48600","Markina-Ondarroa","2.10","2.12","2.07","2.11","2.16","2.77","3.08","2.39",NA,NA,NA
"48700","Plentzia-Mungia","2.65","2.49","2.28","2.20","2.26","2.38","1.95","1.93",NA,NA,NA
"20600","Tolosaldea / Tolosa","2.80","2.78","2.67","2.35","2.35","2.86","2.35","1.89",NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","2.34","2.25","2.28","2.16","2.12","2.25","1.85","1.65",NA,NA,NA
