"Lurralde kodea","Lurralde","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","85.52",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","10.28",NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","70.78",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","34.35",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","8.23",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","10.30",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","16.43",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","17.49",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","8.45",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","18.75",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","33.14",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","35.83",NA,NA,NA,NA
"48500","Gernika-Bermeo","29.18",NA,NA,NA,NA
"20500","Goierri","10.49",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","49.84",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","20.57",NA,NA,NA,NA
"48600","Markina-Ondarroa","24.73",NA,NA,NA,NA
"48700","Plentzia-Mungia","26.99",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","15.74",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","18.76",NA,NA,NA,NA
