"Lurralde kodea","Lurralde","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","1.56",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","2.07",NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","3.15",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","3.47",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","0.62",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","3.03",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","2.18",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","2.57",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","1.58",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","1.22",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","2.19",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","1.58",NA,NA,NA,NA
"48500","Gernika-Bermeo","1.69",NA,NA,NA,NA
"20500","Goierri","0.62",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","2.94",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","2.31",NA,NA,NA,NA
"48600","Markina-Ondarroa","2.11",NA,NA,NA,NA
"48700","Plentzia-Mungia","2.99",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","2.03",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","1.39",NA,NA,NA,NA
