"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","3.92","3.67","3.87","2.98","2.15","1.79","1.04","0.99","0.66",NA,NA
"01200","Arabako Lautada / Llanada Alavesa","6.65","6.96","6.43","5.61","4.28","3.46","2.60","1.71","1.73",NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","2.80","3.34","3.97","3.97","3.19","2.21","1.18","0.73","1.19",NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","4.60","5.12","4.97","4.67","3.54","2.64","1.98","1.53","1.28",NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","5.49","5.84","5.65","5.14","4.50","4.18","3.50","2.74","2.86",NA,NA
"48200","Bilbo Handia / Gran Bilbao","6.88","7.28","6.90","6.21","4.82","3.59","2.78","2.09","2.09",NA,NA
"20100","Deba Beherea / Bajo Deba","5.81","5.90","5.57","5.03","3.90","3.90","3.06","1.90","1.86",NA,NA
"20300","Debagoiena / Alto Deba","4.04","4.22","3.71","3.48","2.65","2.93","2.39","1.33","1.23",NA,NA
"20400","Donostialdea / Donostia-San Sebastián","4.48","4.94","4.84","4.24","3.49","3.30","2.61","2.01","2.03",NA,NA
"48300","Durangaldea / Duranguesado","4.47","4.97","4.73","4.31","3.02","2.81","2.00","1.00","0.85",NA,NA
"48400","Enkartazioak / Encartaciones","7.59","7.75","7.38","6.49","4.04","2.68","2.02","1.44","1.33",NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","5.63","5.49","5.53","4.88","3.61","2.35","1.70","1.06","0.89",NA,NA
"48500","Gernika-Bermeo","4.79","5.16","4.94","4.30","3.19","2.10","1.84","1.18","1.19",NA,NA
"20500","Goierri","4.10","4.46","4.33","3.89","3.31","2.96","2.01","1.23","1.14",NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","2.63","2.75","2.89","2.31","2.29","1.87","1.51","0.81","0.73",NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","6.38","6.82","6.24","5.45","3.76","2.99","2.41","1.46","1.51",NA,NA
"48600","Markina-Ondarroa","3.09","3.54","3.35","3.07","2.17","2.23","1.73","1.00","0.99",NA,NA
"48700","Plentzia-Mungia","4.21","4.43","4.26","3.64","3.00","2.60","1.95","1.53","1.51",NA,NA
"20600","Tolosaldea / Tolosa","5.22","5.37","4.98","4.73","3.84","3.36","2.54","2.06","2.04",NA,NA
"20700","Urola-Kostaldea / Urola Costa","4.03","4.45","4.23","3.69","2.99","2.87","2.02","1.32","1.37",NA,NA
