"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","6.56","8.06","13.26","6.95","6.93","6.25","4.42","6.04",NA,NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","7.26","5.93","5.57","6.36","6.19","5.33","5.91","7.15",NA,NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","8.42","7.98","14.62","6.34","4.72","7.88","3.77","2.52",NA,NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","7.30","6.20","6.24","5.96","4.48","5.24","5.21","8.19",NA,NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","8.43","8.10","6.99","7.64","6.64","7.99","7.17","9.74",NA,NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","7.73","7.27","6.04","7.11","6.64","6.81","6.37","8.10",NA,NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","5.79","4.52","5.37","5.53","5.28","5.77","4.48","5.37",NA,NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","4.66","4.19","5.12","4.61","4.25","4.25","4.38","5.43",NA,NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","8.18","7.55","6.79","7.26","6.57","7.27","6.79","9.02",NA,NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","5.83","5.61","5.75","5.93","6.04","6.15","6.19","8.38",NA,NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","7.93","7.07","8.59","6.70","5.44","6.39","6.22","7.60",NA,NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","11.12","10.54","20.82","11.88","7.89","7.12","6.89","7.33",NA,NA,NA,NA,NA
"48500","Gernika-Bermeo","6.71","6.00","5.25","6.17","5.21","6.80","5.57","8.95",NA,NA,NA,NA,NA
"20500","Goierri","5.53","5.21","5.81","6.04","4.89","6.13","5.25","10.67",NA,NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","4.84","6.01","10.03","7.87","7.32","8.61","5.45","7.84",NA,NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","5.08","5.36","5.53","4.43","4.21","3.91","4.54","4.83",NA,NA,NA,NA,NA
"48600","Markina-Ondarroa","5.11","5.43","5.89","4.30","4.03","4.74","4.39","5.11",NA,NA,NA,NA,NA
"48700","Plentzia-Mungia","7.38","7.27","6.93","7.26","5.49","7.30","7.01","8.34",NA,NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","5.98","4.58","6.57","5.51","4.87","7.28","5.06","6.62",NA,NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","6.48","6.46","6.89","7.14","5.17","6.58","6.10","7.97",NA,NA,NA,NA,NA
