"Lurralde kodea","Lurralde","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","76.09",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","17.36",NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","48.57",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","61.86",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","18.60",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","54.87",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","77.59",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","42.42",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","55.17",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","52.75",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","48.35",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","77.42",NA,NA,NA,NA
"48500","Gernika-Bermeo","62.41",NA,NA,NA,NA
"20500","Goierri","61.45",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","60.00",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","54.69",NA,NA,NA,NA
"48600","Markina-Ondarroa","70.59",NA,NA,NA,NA
"48700","Plentzia-Mungia","61.21",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","60.45",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","66.09",NA,NA,NA,NA
