"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","59411.66","58731.05","58025.42","58238.38","56628.05","56785.16","56923.34","58888.69","0.00","0.00","0.00"
"01200","Arabako Lautada / Llanada Alavesa","47.53","47.67","47.94","48.06","42.50","43.00","43.25","43.77","0.00","0.00","0.00"
"01300","Arabako Mendialdea / Montaña Alavesa","1039.27","1029.51","1012.53","982.71","2269.73","2279.04","2271.15","2267.59","0.00","0.00","0.00"
"48100","Arratia Nerbioi / Arratia-Nervión","37284.59","37250.20","37187.83","37214.31","37488.01","37770.81","38214.56","38466.92","0.00","0.00","0.00"
"20200","Bidasoa Beherea / Bajo Bidasoa","224.80","225.18","226.15","226.68","227.52","227.86","228.16","228.14","0.00","0.00","0.00"
"48200","Bilbo Handia / Gran Bilbao","19.22","19.18","19.11","19.01","14.62","14.61","14.62","14.60","0.00","0.00","0.00"
"20100","Deba Beherea / Bajo Deba","409.27","409.31","409.99","410.39","361.73","363.69","364.50","365.06","0.00","0.00","0.00"
"20300","Debagoiena / Alto Deba","906.90","906.25","904.98","908.05","893.12","899.30","900.07","899.20","0.00","0.00","0.00"
"20400","Donostialdea / Donostia-San Sebastián","301.41","301.96","302.41","302.65","318.83","319.34","320.51","321.12","0.00","0.00","0.00"
"48300","Durangaldea / Duranguesado","287.28","287.76","288.24","284.48","235.69","238.15","239.13","239.80","0.00","0.00","0.00"
"48400","Enkartazioak / Encartaciones","916.65","912.84","894.85","893.52","757.53","767.97","775.24","781.35","0.00","0.00","0.00"
"01400","Errioxa Arabarra / Rioja Alavesa","8665.71","8580.54","8588.90","8579.78","8373.44","8395.47","8424.30","8478.78","0.00","0.00","0.00"
"48500","Gernika-Bermeo","14.29","14.28","14.23","14.15","14.15","14.25","14.33","14.39","0.00","0.00","0.00"
"20500","Goierri","369.42","369.02","369.42","369.24","371.87","372.80","373.52","374.94","0.00","0.00","0.00"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","17.31","17.28","17.38","17.20","18.16","18.45","18.81","19.10","0.00","0.00","0.00"
"01600","Kantauri Arabarra / Cantábrica Alavesa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48600","Markina-Ondarroa","107.69","107.39","106.72","106.04","105.41","105.48","105.40","104.95","0.00","0.00","0.00"
"48700","Plentzia-Mungia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20600","Tolosaldea / Tolosa","1665.06","1668.34","1675.28","1627.01","1629.76","1645.60","1653.62","1662.92","0.00","0.00","0.00"
"20700","Urola-Kostaldea / Urola Costa","215.16","215.98","217.66","219.24","229.82","231.38","233.00","234.33","0.00","0.00","0.00"
