"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","2.30","2.10","2.09","2.25","1.90","2.60","2.70","3.11","3.13","2.80","2.87","2.93","2.81"
"01200","Arabako Lautada / Llanada Alavesa","10.23","10.32","10.64","10.76","11.04","11.51","12.19","12.60","12.69","12.02","12.58","12.14","12.47"
"01300","Arabako Mendialdea / Montaña Alavesa","4.72","4.66","4.87","5.35","5.35","5.36","5.34","5.05","5.06","4.75","5.38","5.38","5.41"
"48100","Arratia Nerbioi / Arratia-Nervión","8.77","8.46","8.37","8.49","8.91","9.25","9.88","9.91","10.04","9.84","10.23","10.24","10.34"
"20200","Bidasoa Beherea / Bajo Bidasoa","13.58","13.89","13.90","14.39","14.92","16.11","16.55","16.99","16.92","16.39","16.38","15.90","14.61"
"48200","Bilbo Handia / Gran Bilbao","12.30","12.41","12.55","12.77","13.15","13.63","14.29","14.40","14.35","13.68","13.89","13.47","13.48"
"20100","Deba Beherea / Bajo Deba","12.07","12.12","12.22","12.74","13.13","14.11","14.66","14.90","15.42","14.86","14.85","14.71","14.70"
"20300","Debagoiena / Alto Deba","11.10","11.14","11.04","11.35","11.65","12.15","12.64","12.96","13.03","12.46","12.51","12.25","11.93"
"20400","Donostialdea / Donostia-San Sebastián","12.82","12.89","13.09","13.35","13.75","14.39","15.04","15.61","15.80","14.93","14.88","14.53","13.86"
"48300","Durangaldea / Duranguesado","10.71","10.97","11.27","11.69","11.73","12.05","12.56","12.54","12.27","11.74","12.27","11.94","11.96"
"48400","Enkartazioak / Encartaciones","10.79","10.58","10.66","11.00","11.16","11.57","11.85","11.83","11.83","11.58","11.10","10.18","10.35"
"01400","Errioxa Arabarra / Rioja Alavesa","8.63","8.68","8.42","8.32","8.32","8.44","8.24","8.14","8.30","8.31","8.27","8.53","8.69"
"48500","Gernika-Bermeo","12.08","12.27","12.27","12.56","12.91","13.45","13.93","14.18","14.05","13.60","13.80","13.45","13.42"
"20500","Goierri","11.85","11.82","11.88","12.09","12.24","12.73","13.33","13.89","14.39","13.14","13.95","13.74","15.67"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","6.80","8.55","8.99","9.84","10.18","10.24","10.86","11.76","12.58","13.08","13.84","14.01","14.66"
"01600","Kantauri Arabarra / Cantábrica Alavesa","9.49","9.33","9.29","9.49","9.86","10.23","10.92","10.99","11.14","10.85","10.95","10.88","10.65"
"48600","Markina-Ondarroa","11.94","12.23","12.35","12.54","12.77","12.88","13.42","13.83","13.82","13.04","13.17","13.03","13.13"
"48700","Plentzia-Mungia","7.71","7.61","7.99","8.45","8.78","8.96","9.51","9.80","9.38","9.01","9.27","9.25","9.37"
"20600","Tolosaldea / Tolosa","11.94","11.79","11.89","12.24","12.26","13.15","13.87","13.95","14.29","13.52","13.92","13.63","13.51"
"20700","Urola-Kostaldea / Urola Costa","12.90","12.77","12.96","13.59","13.69","14.21","14.75","15.22","15.02","14.11","14.30","14.03","16.86"
