"Lurralde kodea","Lurralde","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","69.33",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","5.97",NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","101.01",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","16.28",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","5.85",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","4.73",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","5.55",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","8.70",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","7.23",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","6.42",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","15.31",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","16.52",NA,NA,NA,NA
"48500","Gernika-Bermeo","10.69",NA,NA,NA,NA
"20500","Goierri","9.91",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","19.19",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","9.76",NA,NA,NA,NA
"48600","Markina-Ondarroa","8.36",NA,NA,NA,NA
"48700","Plentzia-Mungia","9.46",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","11.73",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","8.66",NA,NA,NA,NA
