"Lurralde kodea","Lurralde","2015","2011","2007","2003"
"01100","Arabako Ibarrak / Valles Alaveses","70.34","74.43",NA,NA
"01200","Arabako Lautada / Llanada Alavesa","64.97","61.78",NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","71.73","69.60",NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","74.47","77.28",NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","60.91","56.83",NA,NA
"48200","Bilbo Handia / Gran Bilbao","60.82","61.75",NA,NA
"20100","Deba Beherea / Bajo Deba","64.11","65.65",NA,NA
"20300","Debagoiena / Alto Deba","64.66","65.31",NA,NA
"20400","Donostialdea / Donostia-San Sebastián","64.89","60.08",NA,NA
"48300","Durangaldea / Duranguesado","65.65","66.49",NA,NA
"48400","Enkartazioak / Encartaciones","75.84","77.92",NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","77.36","79.12",NA,NA
"48500","Gernika-Bermeo","69.57","75.00",NA,NA
"20500","Goierri","67.33","67.24",NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","67.88","70.37",NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","65.51","68.29",NA,NA
"48600","Markina-Ondarroa","67.59","73.93",NA,NA
"48700","Plentzia-Mungia","66.39","70.57",NA,NA
"20600","Tolosaldea / Tolosa","66.00","67.23",NA,NA
"20700","Urola-Kostaldea / Urola Costa","66.93","69.39",NA,NA
