"Lurralde kodea","Lurralde","2011","2006","2001","1996","1991"
"01100","Arabako Ibarrak / Valles Alaveses","66.80","66.65","64.86","59.80","56.18"
"01200","Arabako Lautada / Llanada Alavesa","79.30","77.95","76.10","74.00","70.99"
"01300","Arabako Mendialdea / Montaña Alavesa","67.40","69.48","68.34","63.60","59.88"
"48100","Arratia Nerbioi / Arratia-Nervión","69.10","67.94","66.26","61.30","60.15"
"20200","Bidasoa Beherea / Bajo Bidasoa","72.20","75.33","74.03","66.70","65.16"
"48200","Bilbo Handia / Gran Bilbao","70.00","70.71","68.90","63.20","63.23"
"20100","Deba Beherea / Bajo Deba","69.60","70.00","69.05","61.50","60.76"
"20300","Debagoiena / Alto Deba","75.10","75.67","74.31","72.30","68.29"
"20400","Donostialdea / Donostia-San Sebastián","72.70","72.36","71.16","67.40","67.09"
"48300","Durangaldea / Duranguesado","73.50","73.96","72.08","64.70","62.63"
"48400","Enkartazioak / Encartaciones","66.30","67.55","65.80","58.10","57.47"
"01400","Errioxa Arabarra / Rioja Alavesa","67.30","66.48","64.08","64.30","61.27"
"48500","Gernika-Bermeo","68.50","70.53","69.37","61.60","62.73"
"20500","Goierri","71.30","74.13","72.39","66.60","61.49"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","70.80","70.27","68.65","67.90","61.88"
"01600","Kantauri Arabarra / Cantábrica Alavesa","72.50","73.30","71.24","66.50","64.00"
"48600","Markina-Ondarroa","65.80","61.97","60.54","59.80","61.22"
"48700","Plentzia-Mungia","73.90","75.19","74.16","65.80","64.00"
"20600","Tolosaldea / Tolosa","69.40","68.07","66.65","63.70","60.89"
"20700","Urola-Kostaldea / Urola Costa","72.90","72.25","70.98","64.70","63.39"
