"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012"
"01100","Arabako Ibarrak / Valles Alaveses","34.26","32.01","32.56","34.44","30.87"
"01200","Arabako Lautada / Llanada Alavesa","2.88","2.52","2.70","2.84","2.49"
"01300","Arabako Mendialdea / Montaña Alavesa","40.42","39.26","39.90","39.39","35.75"
"48100","Arratia Nerbioi / Arratia-Nervión","11.02","12.75","12.69","13.52","11.75"
"20200","Bidasoa Beherea / Bajo Bidasoa","1.50","1.59","1.73","1.87","1.75"
"48200","Bilbo Handia / Gran Bilbao","0.57","0.55","0.58","0.62","0.57"
"20100","Deba Beherea / Bajo Deba","5.01","5.67","6.35","6.64","5.54"
"20300","Debagoiena / Alto Deba","5.18","5.79","6.73","8.71","6.94"
"20400","Donostialdea / Donostia-San Sebastián","1.27","1.35","1.48","1.65","1.34"
"48300","Durangaldea / Duranguesado","3.14","3.44","3.70","4.35","3.57"
"48400","Enkartazioak / Encartaciones","15.18","16.13","16.70","17.63","15.05"
"01400","Errioxa Arabarra / Rioja Alavesa","34.10","33.07","32.86","34.69","31.01"
"48500","Gernika-Bermeo","7.46","8.02","8.17","8.99","7.30"
"20500","Goierri","5.96","6.36","7.22","7.79","6.59"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","17.93","16.45","17.52","18.35","15.05"
"01600","Kantauri Arabarra / Cantábrica Alavesa","10.33","10.52","12.40","13.14","11.66"
"48600","Markina-Ondarroa","10.92","10.52","10.73","12.07","9.70"
"48700","Plentzia-Mungia","5.14","5.43","5.64","6.43","5.84"
"20600","Tolosaldea / Tolosa","8.85","9.33","10.62","11.22","9.75"
"20700","Urola-Kostaldea / Urola Costa","8.27","8.13","8.99","9.59","8.32"
