"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","6.38","6.17","7.06","7.52","6.90","5.18","4.34","4.34","3.07","2.19",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","11.19","11.93","12.55","12.49","11.47","9.58","9.06","8.37","6.65","5.58",NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","5.92","5.62","6.89","8.06","8.88","7.22","6.57","4.07","3.09","3.21",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","7.66","8.58","9.29","9.47","9.24","8.15","7.13","6.48","5.46","4.34",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","10.37","11.24","12.03","12.01","11.80","10.72","10.43","10.01","8.87","8.06",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","11.72","12.43","13.01","12.92","12.22","10.62","9.81","8.69","7.28","6.24",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","10.02","10.65","11.29","10.98","10.75","9.59","9.23","8.54","6.52","5.46",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","7.79","8.37","8.58","8.30","8.19","6.89","7.07","7.27","5.10","3.98",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","8.76","9.40","10.20","10.51","9.99","8.66","8.56","7.92","6.52","5.69",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","7.94","8.52","9.41","9.68","8.77","7.09","6.95","6.76","4.57","3.46",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","12.21","13.16","13.42","13.45","12.33","10.06","8.45","7.24","6.17","5.46",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","9.27","9.88","10.36","10.00","8.89","7.00","5.54","5.27","4.34","2.62",NA,NA,NA,NA
"48500","Gernika-Bermeo","8.32","8.70","9.28","9.69","8.44","7.31","6.43","6.34","5.52","4.40",NA,NA,NA,NA
"20500","Goierri","7.01","7.35","8.33","8.05","8.12","7.25","7.22","6.32","4.75","3.39",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","5.34","5.58","5.82","6.05","5.90","5.59","5.77","3.93","3.63","2.29",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","11.71","12.11","12.57","12.21","10.44","8.87","7.53","6.77","5.28","4.69",NA,NA,NA,NA
"48600","Markina-Ondarroa","6.09","6.51","7.36","7.43","7.35","5.81","5.72","5.46","4.90","3.48",NA,NA,NA,NA
"48700","Plentzia-Mungia","8.68","8.68","8.91","8.90","8.26","7.20","7.11","6.29","5.31","4.58",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","8.84","9.71","10.78","10.44","10.16","8.68","8.74","7.69","6.34","5.89",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","7.68","8.85","9.69","9.85","9.06","7.33","7.05","6.58","4.83","4.05",NA,NA,NA,NA
