"Lurralde kodea","Lurralde","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","0.68",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","0.31",NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","0.63",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","0.69",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","0.49",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","0.70",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","0.49",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","0.57",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","1.33",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","0.79",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","0.44",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","0.56",NA,NA,NA,NA
"48500","Gernika-Bermeo","0.81",NA,NA,NA,NA
"20500","Goierri","0.83",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","0.22",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","0.78",NA,NA,NA,NA
"48600","Markina-Ondarroa","1.04",NA,NA,NA,NA
"48700","Plentzia-Mungia","0.33",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","0.96",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","0.65",NA,NA,NA,NA
