"Lurralde kodea","Lurralde","2015","2014","2013","2012"
"01100","Arabako Ibarrak / Valles Alaveses","54.34","54.11","53.47","53.57"
"01200","Arabako Lautada / Llanada Alavesa","73.69","73.45","72.75","71.51"
"01300","Arabako Mendialdea / Montaña Alavesa","51.97","51.29","48.64","47.50"
"48100","Arratia Nerbioi / Arratia-Nervión","66.27","66.02","64.76","64.13"
"20200","Bidasoa Beherea / Bajo Bidasoa","79.45","79.18","78.57","77.68"
"48200","Bilbo Handia / Gran Bilbao","80.65","80.39","79.79","79.03"
"20100","Deba Beherea / Bajo Deba","61.35","60.85","59.64","58.45"
"20300","Debagoiena / Alto Deba","58.29","55.12","53.12","51.92"
"20400","Donostialdea / Donostia-San Sebastián","80.33","80.05","79.67","79.06"
"48300","Durangaldea / Duranguesado","62.57","62.30","61.45","60.72"
"48400","Enkartazioak / Encartaciones","72.61","72.70","72.07","71.05"
"01400","Errioxa Arabarra / Rioja Alavesa","45.70","44.93","43.51","43.34"
"48500","Gernika-Bermeo","70.75","70.37","69.68","68.60"
"20500","Goierri","57.64","57.21","56.02","55.00"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","69.92","68.59","66.83","66.24"
"01600","Kantauri Arabarra / Cantábrica Alavesa","63.16","62.12","60.14","58.96"
"48600","Markina-Ondarroa","59.69","59.61","58.96","57.14"
"48700","Plentzia-Mungia","78.71","78.13","77.50","76.44"
"20600","Tolosaldea / Tolosa","63.38","62.91","62.10","61.02"
"20700","Urola-Kostaldea / Urola Costa","63.62","63.27","62.08","60.45"
