"Lurralde kodea","Lurralde","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","0.00","0.00","0.00","0.00","0.00",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","0.52","0.47","0.47","0.46","0.37",NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","0.00","0.00","0.00","0.00","0.00",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","0.00","0.00","0.00","0.00","0.00",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","1.66","1.64","1.64","1.11","1.02",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","0.83","0.82","0.86","0.87","0.91",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","0.78","0.71","0.58","0.40","0.86",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","1.57","1.53","1.49","1.37","1.30",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","1.42","1.33","1.23","1.20","1.10",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","0.61","0.62","0.57","0.57","0.57",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","0.81","0.82","0.89","0.90","0.84",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","0.00","0.00","0.00","0.00","0.00",NA,NA,NA,NA
"48500","Gernika-Bermeo","1.26","1.27","1.17","1.20","0.85",NA,NA,NA,NA
"20500","Goierri","1.03","1.03","1.00","1.03","0.80",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","0.00","0.00","0.00","0.00","0.00",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","0.00","0.00","0.00","0.00","0.00",NA,NA,NA,NA
"48600","Markina-Ondarroa","0.56","0.57","0.56","0.56","0.57",NA,NA,NA,NA
"48700","Plentzia-Mungia","1.10","0.64","0.65","0.66","0.67",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","0.75","0.73","0.42","0.40","0.21",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","0.41","0.42","0.44","0.42","0.38",NA,NA,NA,NA
