"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"01100","Arabako Ibarrak / Valles Alaveses","21.81","9.91","0.00","0.00","0.00","0.00","0.00","0.00",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","146.17","100.96","83.39","79.24","67.54","55.66","46.05","34.83",NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","21.20","7.57","0.00","0.00","0.00","0.00","0.00","0.00",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","63.74","43.27","15.82","15.89","5.62","5.52","5.55","3.26",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","91.33","57.25","18.92","19.02","17.13","17.31","17.32","17.54",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","131.72","77.58","14.97","13.88","12.46","11.78","9.99","8.64",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","91.50","58.63","14.75","14.78","11.00","8.81","6.39","6.52",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","74.28","47.12","8.73","8.72","8.78","8.89","1.86","1.88",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","157.43","97.58","11.73","10.63","9.55","8.69","7.69","7.56",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","70.69","32.57","13.72","13.89","14.00","12.30","9.55","9.71",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","71.67","40.91","6.13","6.14","6.21","6.18","6.20","6.22",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","36.20","16.69","2.47","2.48","2.50","2.52","2.54","2.61",NA,NA,NA,NA
"48500","Gernika-Bermeo","46.01","23.20","5.69","5.72","5.74","5.73","3.50","3.52",NA,NA,NA,NA
"20500","Goierri","78.54","34.63","6.69","6.77","6.72","6.80","7.51","7.05",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","28.56","16.90","1.95","1.95","1.98","2.04","2.06","2.08",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","77.64","48.55","17.91","11.66","11.67","11.72","5.28","5.31",NA,NA,NA,NA
"48600","Markina-Ondarroa","61.97","28.98","0.00","0.00","0.00","0.00","0.00","0.00",NA,NA,NA,NA
"48700","Plentzia-Mungia","70.59","42.58","1.40","1.41","1.41","1.43","1.45","1.46",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","88.02","34.66","0.53","0.53","0.54","0.54","0.56","0.57",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","68.99","38.07","6.85","6.89","5.15","5.14","5.21","3.63",NA,NA,NA,NA
