"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","1.95","4.20","8.90","12.86","21.82","7.99","16.00","13.74","4.23","17.20","12.81","21.84","11.85"
"01200","Arabako Lautada / Llanada Alavesa","2.03","4.21","-0.28","5.99","12.09","12.96","12.47","15.02","15.18","10.50","10.40","10.30","6.01"
"01300","Arabako Mendialdea / Montaña Alavesa","6.06","-1.33","-6.17","4.44","6.93","0.95","2.51","7.23","8.53","6.65","4.11","8.55","16.23"
"48100","Arratia Nerbioi / Arratia-Nervión","1.17","1.68","-3.31","2.73","5.36","7.84","5.65","7.25","11.42","8.54","7.47","7.96","6.83"
"20200","Bidasoa Beherea / Bajo Bidasoa","2.80","2.30","0.40","6.82","5.90","6.61","6.50","7.31","6.43","7.50","7.64","4.61","4.86"
"48200","Bilbo Handia / Gran Bilbao","0.58","0.03","-2.71","4.36","7.05","5.61","6.66","7.60","7.44","6.39","6.25","4.20","2.79"
"20100","Deba Beherea / Bajo Deba","4.77","4.67","4.84","7.80","6.80","6.21","5.33","7.51","8.46","6.20","3.44","0.31","1.30"
"20300","Debagoiena / Alto Deba","1.37","0.92","3.05","6.53","6.73","2.86","3.31","6.84","5.94","6.67","3.99","3.32","0.11"
"20400","Donostialdea / Donostia-San Sebastián","2.48","2.65","0.55","2.52","1.41","1.62","1.35","2.46","1.39","0.71","1.07","-0.83","0.21"
"48300","Durangaldea / Duranguesado","1.47","1.75","-3.19","6.01","10.04","5.99","5.16","7.10","10.56","8.24","6.19","3.58","2.88"
"48400","Enkartazioak / Encartaciones","0.56","-1.27","-4.09","6.11","9.47","6.04","7.08","5.73","7.48","5.61","7.03","4.41","3.47"
"01400","Errioxa Arabarra / Rioja Alavesa","-1.78","6.64","7.35","2.99","5.08","7.91","7.44","-0.80","15.79","26.38","18.50","19.42","19.79"
"48500","Gernika-Bermeo","1.86","1.45","-3.78","6.15","9.19","8.73","7.11","9.13","9.57","11.72","11.73","9.31","5.97"
"20500","Goierri","1.80","1.95","1.92","2.74","3.90","6.16","4.90","8.29","22.00","11.75","7.79","4.36","1.65"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","-1.50","2.43","0.35","3.54","10.98","4.89","5.13","12.17","8.14","9.94","12.16","3.83","4.48"
"01600","Kantauri Arabarra / Cantábrica Alavesa","0.87","0.43","-0.14","2.26","3.89","3.00","4.87","7.89","6.80","7.22","4.56","3.80","1.85"
"48600","Markina-Ondarroa","3.88","1.49","1.60","3.96","9.30","6.10","3.19","9.89","13.09","11.10","9.42","5.44","7.23"
"48700","Plentzia-Mungia","1.56","0.80","-0.32","2.57","7.00","6.45","5.80","7.98","9.05","9.68","8.52","6.52","4.63"
"20600","Tolosaldea / Tolosa","2.01","5.36","1.87","5.55","6.75","5.45","3.73","7.91","8.76","5.93","7.46","1.54","1.13"
"20700","Urola-Kostaldea / Urola Costa","3.06","3.66","2.01","4.32","6.78","5.78","5.26","9.72","9.20","8.27","6.31","3.60","2.14"
