"Lurralde kodea","Lurralde","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"01100","Arabako Ibarrak / Valles Alaveses","152.77","274.69","346.25","-97.64","221.80","233.61","310.56","74.11","-345.29","243.11","358.99","636.11","34.73"
"01200","Arabako Lautada / Llanada Alavesa","17.01","43.86","52.05","113.97","143.29","233.96","276.98","267.67","10.37","53.58","85.55","152.68","161.46"
"01300","Arabako Mendialdea / Montaña Alavesa","134.72","-117.03","123.19","134.37","120.36","109.16","76.29","201.46","146.98","49.42","156.13","242.84","195.89"
"48100","Arratia Nerbioi / Arratia-Nervión","80.06","124.54","142.68","98.81","26.97","242.03","351.83","132.02","178.75","169.08","213.06","69.32","240.09"
"20200","Bidasoa Beherea / Bajo Bidasoa","178.67","62.88","129.46","243.59","111.98","232.97","224.78","211.14","272.15","159.07","167.22","278.02","162.61"
"48200","Bilbo Handia / Gran Bilbao","122.52","79.88","129.32","164.76","184.84","220.94","206.63","180.29","179.65","136.38","170.52","149.42","146.30"
"20100","Deba Beherea / Bajo Deba","99.81","55.91","88.73","182.84","142.39","248.06","133.97","254.22","134.63","165.65","197.93","366.62","142.65"
"20300","Debagoiena / Alto Deba","154.88","101.32","167.96","224.69","151.22","311.75","343.06","34.85","380.21","214.72","167.88","153.94","268.53"
"20400","Donostialdea / Donostia-San Sebastián","91.48","80.41","73.03","142.42","94.80","279.42","201.61","185.53","180.08","140.25","159.60","158.04","176.82"
"48300","Durangaldea / Duranguesado","178.97","46.23","70.54","141.90","259.44","310.77","327.46","245.44","184.97","167.99","261.27","358.75","197.11"
"48400","Enkartazioak / Encartaciones","129.38","69.74","162.01","234.36","225.20","323.27","282.78","191.64","-49.46","66.36","215.25","34.27","187.90"
"01400","Errioxa Arabarra / Rioja Alavesa","384.06","230.98","-128.25","548.23","-406.36","117.83","279.43","354.29","225.36","300.00","282.30","536.51","236.16"
"48500","Gernika-Bermeo","104.55","86.52","91.71","108.62","230.85","112.16","312.87","226.62","-51.99","154.88","210.72","91.35","244.38"
"20500","Goierri","139.03","128.54","121.81","163.88","194.89","355.18","251.49","278.73","222.63","160.04","134.98","147.17","206.52"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","229.95","139.58","252.26","116.47","182.15","283.69","117.56","383.59","155.77","-152.06","189.63","348.18","227.21"
"01600","Kantauri Arabarra / Cantábrica Alavesa","54.53","64.52","87.91","-8.24","96.33","194.46","155.80","347.72","15.46","182.60","124.10","273.53","186.38"
"48600","Markina-Ondarroa","84.59","58.32","131.25","211.31","211.85","209.82","104.82","378.23","120.37","216.76","166.87","169.38","202.40"
"48700","Plentzia-Mungia","167.05","-8.90","88.35","187.20","189.62","184.58","-10.09","318.16","187.24","21.43","237.63","114.75","130.52"
"20600","Tolosaldea / Tolosa","130.78","55.42","94.50","228.83","205.70","126.24","94.03","210.37","276.51","219.12","219.24","298.72","297.95"
"20700","Urola-Kostaldea / Urola Costa","76.06","122.80","102.44","171.00","79.22","331.83","361.08","296.74","332.99","186.87","261.21","394.67","299.52"
