"Lurralde kodea","Lurralde","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","278.64",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","114.84",NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","478.14",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","222.49",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","146.38",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","69.13",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","228.15",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","182.55",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","161.18",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","134.84",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","285.60",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","353.52",NA,NA,NA,NA
"48500","Gernika-Bermeo","91.24",NA,NA,NA,NA
"20500","Goierri","255.14",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","423.30",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","203.85",NA,NA,NA,NA
"48600","Markina-Ondarroa","136.08",NA,NA,NA,NA
"48700","Plentzia-Mungia","175.43",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","187.70",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","159.19",NA,NA,NA,NA
