"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"01100","Arabako Ibarrak / Valles Alaveses","6.59","9.14","13.57","16.73","20.30","21.92","26.83","27.49","28.56","27.00","27.29"
"01200","Arabako Lautada / Llanada Alavesa","8.20","8.58","9.27","9.44","10.80","10.80","11.02","9.99","8.73","7.15","7.26"
"01300","Arabako Mendialdea / Montaña Alavesa","-6.28","-5.93","-3.62","-0.41","1.56","1.25","2.35","1.86","2.12","1.80","0.38"
"48100","Arratia Nerbioi / Arratia-Nervión","7.30","8.54","9.80","10.71","10.96","11.02","10.37","10.12","9.30","7.37","5.10"
"20200","Bidasoa Beherea / Bajo Bidasoa","2.91","3.95","4.64","5.96","6.35","8.13","8.44","10.31","10.74","9.89","9.57"
"48200","Bilbo Handia / Gran Bilbao","-1.01","-0.71","-0.24","-0.04","0.11","-0.01","-0.20","-0.77","-1.30","-1.48","-1.72"
"20100","Deba Beherea / Bajo Deba","3.04","2.91","2.53","1.96","1.19","0.33","-0.30","-1.28","-2.18","-2.95","-4.82"
"20300","Debagoiena / Alto Deba","1.66","1.60","1.49","0.70","0.19","-0.76","-1.32","-1.61","-2.17","-2.29","-3.00"
"20400","Donostialdea / Donostia-San Sebastián","2.82","2.92","2.93","3.13","3.13","3.20","2.93","3.04","2.54","1.90","2.07"
"48300","Durangaldea / Duranguesado","5.19","5.91","6.44","7.05","7.32","6.80","6.78","6.51","5.73","4.55","3.71"
"48400","Enkartazioak / Encartaciones","5.81","6.70","7.18","8.23","8.47","7.39","6.27","5.49","4.46","3.33","1.85"
"01400","Errioxa Arabarra / Rioja Alavesa","3.29","5.64","8.29","9.64","11.63","13.33","14.48","15.29","16.36","14.29","12.09"
"48500","Gernika-Bermeo","2.37","2.99","4.20","5.24","5.09","4.66","4.04","3.53","3.12","2.41","1.60"
"20500","Goierri","5.02","5.85","6.35","6.50","6.60","6.66","6.35","5.88","4.70","2.31","0.52"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","11.21","13.14","15.76","19.86","24.64","26.60","28.29","31.28","32.15","30.32","29.85"
"01600","Kantauri Arabarra / Cantábrica Alavesa","3.09","3.59","4.44","4.72","4.60","3.78","3.06","1.45","0.83","0.30","-1.02"
"48600","Markina-Ondarroa","-0.68","-0.02","0.55","0.95","1.25","1.19","1.22","1.09","0.05","-0.91","-1.89"
"48700","Plentzia-Mungia","14.87","16.64","18.82","20.61","21.63","22.89","23.99","24.77","25.42","22.90","25.00"
"20600","Tolosaldea / Tolosa","6.53","7.31","7.08","7.22","6.90","6.59","6.40","5.98","5.11","3.91","3.63"
"20700","Urola-Kostaldea / Urola Costa","8.31","8.99","9.20","9.11","9.67","10.06","10.20","10.60","9.95","8.53","8.19"
