"Lurralde kodea","Lurralde","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","19.64",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","3.57",NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","25.48",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","11.19",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","3.58",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","3.11",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","3.60",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","3.25",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","2.70",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","6.32",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","6.45",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","11.80",NA,NA,NA,NA
"48500","Gernika-Bermeo","4.84",NA,NA,NA,NA
"20500","Goierri","4.80",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","14.69",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","6.54",NA,NA,NA,NA
"48600","Markina-Ondarroa","4.33",NA,NA,NA,NA
"48700","Plentzia-Mungia","6.50",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","4.60",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","6.29",NA,NA,NA,NA
