"Lurralde kodea","Lurralde","2004","2003","2002","2001"
"01100","Arabako Ibarrak / Valles Alaveses","874.58","882.90","614.90",NA
"01200","Arabako Lautada / Llanada Alavesa","141.10","134.41","118.53",NA
"01300","Arabako Mendialdea / Montaña Alavesa","21.72","11.02","30.55",NA
"48100","Arratia Nerbioi / Arratia-Nervión","71.24","72.41","48.46",NA
"20200","Bidasoa Beherea / Bajo Bidasoa","45.84","51.31","38.16",NA
"48200","Bilbo Handia / Gran Bilbao","323.15","176.69","172.52",NA
"20100","Deba Beherea / Bajo Deba","79.78","62.26","54.45",NA
"20300","Debagoiena / Alto Deba","377.20","363.18","398.99",NA
"20400","Donostialdea / Donostia-San Sebastián","31.44","29.57","20.94",NA
"48300","Durangaldea / Duranguesado","386.67","328.81","347.99",NA
"48400","Enkartazioak / Encartaciones","51.80","87.61","34.67",NA
"01400","Errioxa Arabarra / Rioja Alavesa","99.23","90.24","94.65",NA
"48500","Gernika-Bermeo","59.38","50.49","49.45",NA
"20500","Goierri","601.13","648.29","559.99",NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","1711.15","1218.99","1194.65",NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","608.10","578.83","551.81",NA
"48600","Markina-Ondarroa","122.14","105.42","62.28",NA
"48700","Plentzia-Mungia","31.14","30.93","25.31",NA
"20600","Tolosaldea / Tolosa","27.98","26.89","27.95",NA
"20700","Urola-Kostaldea / Urola Costa","425.31","428.21","347.57",NA
