"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009"
"01100","Arabako Ibarrak / Valles Alaveses","34.94","33.58","32.96","33.83","34.67","34.52","34.82"
"01200","Arabako Lautada / Llanada Alavesa","51.24","50.34","50.05","51.53","53.79","54.95","55.56"
"01300","Arabako Mendialdea / Montaña Alavesa","40.61","40.47","39.39","40.04","41.76","42.55","43.12"
"48100","Arratia Nerbioi / Arratia-Nervión","50.58","49.32","48.97","49.87","52.43","53.09","53.49"
"20200","Bidasoa Beherea / Bajo Bidasoa","47.89","46.97","46.48","47.15","49.70","50.59","51.59"
"48200","Bilbo Handia / Gran Bilbao","47.64","46.82","46.29","47.49","50.26","51.41","52.14"
"20100","Deba Beherea / Bajo Deba","51.68","50.39","50.02","51.05","53.52","54.15","54.96"
"20300","Debagoiena / Alto Deba","52.78","51.67","52.57","53.43","55.92","56.68","57.01"
"20400","Donostialdea / Donostia-San Sebastián","50.31","49.36","48.85","49.71","52.58","53.67","54.85"
"48300","Durangaldea / Duranguesado","54.02","52.82","52.53","53.15","56.06","57.20","56.88"
"48400","Enkartazioak / Encartaciones","45.07","44.51","43.67","44.90","47.47","50.11","50.69"
"01400","Errioxa Arabarra / Rioja Alavesa","41.55","40.98","40.39","44.09","57.83","58.02","64.72"
"48500","Gernika-Bermeo","44.57","43.84","43.02","43.91","46.36","47.23","46.94"
"20500","Goierri","55.57","54.40","54.39","54.56","57.26","56.93","57.35"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","49.53","48.95","48.53","48.39","49.39","49.47","49.83"
"01600","Kantauri Arabarra / Cantábrica Alavesa","51.31","50.87","51.79","53.38","55.89","57.47","57.29"
"48600","Markina-Ondarroa","47.76","47.06","46.22","46.65","48.84","48.75","48.37"
"48700","Plentzia-Mungia","49.65","48.36","48.11","48.68","50.08","50.89","50.71"
"20600","Tolosaldea / Tolosa","54.91","53.55","53.41","54.18","57.18","58.04","59.19"
"20700","Urola-Kostaldea / Urola Costa","52.04","50.28","50.58","52.00","54.42","55.20","55.55"
