"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","9.45","10.40","11.84","5.94","3.46","2.43","2.43","1.82","2.36","3.13","3.99"
"01200","Arabako Lautada / Llanada Alavesa","23.45","25.57","32.94","31.17","41.66","40.66","49.67","59.96","64.86","67.56","69.40"
"01300","Arabako Mendialdea / Montaña Alavesa","7.45","7.71","12.53","7.68","7.54","7.89","8.18","6.93","6.61","5.69","5.08"
"48100","Arratia Nerbioi / Arratia-Nervión","16.83","17.36","21.93","18.81","18.30","17.46","19.30","20.82","21.26","21.15","18.24"
"20200","Bidasoa Beherea / Bajo Bidasoa","29.28","28.28","31.75","29.77","29.23","28.04","27.91","28.27","27.74","25.47","20.40"
"48200","Bilbo Handia / Gran Bilbao","41.02","39.73","46.36","44.95","44.25","43.43","45.37","41.15","40.19","39.19","36.79"
"20100","Deba Beherea / Bajo Deba","22.27","20.52","28.94","26.78","29.93","32.96","34.94","34.62","34.97","34.82","33.39"
"20300","Debagoiena / Alto Deba","16.98","17.70","28.39","25.54","30.24","32.25","37.96","44.98","48.76","47.80","44.34"
"20400","Donostialdea / Donostia-San Sebastián","44.75","44.07","54.66","52.01","55.81","57.46","61.47","60.12","61.30","62.06","56.01"
"48300","Durangaldea / Duranguesado","24.67","25.82","30.05","27.17","31.05","31.72","36.15","34.75","33.59","34.08","34.30"
"48400","Enkartazioak / Encartaciones","22.55","21.31","23.57","18.74","19.37","20.05","21.67","22.88","21.98","20.03","17.37"
"01400","Errioxa Arabarra / Rioja Alavesa","15.47","15.05","14.63","12.04","8.75","6.84","5.37","4.70","4.79","4.60","4.43"
"48500","Gernika-Bermeo","23.78","22.48","28.82","24.97","25.98","26.39","28.64","28.39","31.35","31.81","30.39"
"20500","Goierri","17.30","17.18","23.53","21.35","23.49","26.10","28.14","28.85","29.55","27.40","23.91"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","10.85","11.63","14.14","10.43","17.02","17.18","19.98","27.49","29.44","28.37","29.01"
"01600","Kantauri Arabarra / Cantábrica Alavesa","17.92","20.94","27.59","27.17","32.68","39.23","40.66","43.66","44.96","42.73","41.26"
"48600","Markina-Ondarroa","21.04","21.17","27.21","25.22","25.98","25.05","26.65","24.13","22.77","19.56","18.76"
"48700","Plentzia-Mungia","38.03","39.99","37.93","35.59","37.04","34.34","35.11","33.97","32.85","34.73","30.50"
"20600","Tolosaldea / Tolosa","27.49","26.01","28.38","25.48","25.99","28.63","34.85","40.60","39.72","39.68","33.38"
"20700","Urola-Kostaldea / Urola Costa","31.12","31.30","37.94","36.71","38.84","38.16","40.67","40.85","40.87","32.51","26.70"
