"Entitatea","2009","2008","2007","2006","2005"
"Araba/Álava","0.95","1.02","1.00","0.72","0.93"
"Bizkaia","1.45","1.34","1.34","1.20","1.15"
"CAE","1.64","1.53","1.54","1.36","1.28"
"Gipuzkoa","2.28","2.08","2.10","1.90","1.65"
