"Entitatea","2008","2007","2006"
"Araba/Álava","0.77","0.75","0.00"
"Bizkaia","0.60","0.57","0.00"
"CAE","0.58","0.55","0.00"
"Gipuzkoa","0.48","0.46","0.00"
